destination_id,fare_id,origin_id
PNCU,F1,ALVA
CPPY,F1,ATTK
MUTT,F1,ATTK
PNCU,F1,ATTK
KLMT,F1,CCUV
PDPM,F1,CCUV
EDAP,F1,CGPP
PARV,F1,CGPP
ATTK,F1,CPPY
PNCU,F1,CPPY
CGPP,F1,EDAP
PARV,F1,EDAP
PDPM,F1,EDAP
CGPP,F1,JLSD
KALR,F1,JLSD
PARV,F1,JLSD
JLSD,F1,KALR
LSSE,F1,KALR
CCUV,F1,KLMT
JLSD,F1,LSSE
KALR,F1,LSSE
MGRD,F1,LSSE
MGRD,F1,MACE
KALR,F1,MGRD
LSSE,F1,MGRD
MACE,F1,MGRD
ATTK,F1,MUTT
CPPY,F1,MUTT
KLMT,F1,MUTT
CGPP,F1,PARV
JLSD,F1,PARV
KALR,F1,PARV
CCUV,F1,PDPM
CGPP,F1,PDPM
EDAP,F1,PDPM
ALVA,F1,PNCU
CPPY,F1,PNCU
ATTK,F2,ALVA
CPPY,F2,ALVA
MUTT,F2,ALVA
ALVA,F2,ATTK
CCUV,F2,ATTK
KLMT,F2,ATTK
PDPM,F2,ATTK
ATTK,F2,CCUV
CGPP,F2,CCUV
EDAP,F2,CCUV
JLSD,F2,CCUV
MUTT,F2,CCUV
PARV,F2,CCUV
CCUV,F2,CGPP
JLSD,F2,CGPP
KALR,F2,CGPP
LSSE,F2,CGPP
PDPM,F2,CGPP
ALVA,F2,CPPY
CCUV,F2,CPPY
KLMT,F2,CPPY
MUTT,F2,CPPY
CCUV,F2,EDAP
JLSD,F2,EDAP
KALR,F2,EDAP
KLMT,F2,EDAP
LSSE,F2,EDAP
EDAP,F2,JLSD
LSSE,F2,JLSD
MACE,F2,JLSD
MGRD,F2,JLSD
PDPM,F2,JLSD
CGPP,F2,KALR
EDAP,F2,KALR
MACE,F2,KALR
MGRD,F2,KALR
PARV,F2,KALR
ATTK,F2,KLMT
CGPP,F2,KLMT
CPPY,F2,KLMT
EDAP,F2,KLMT
MUTT,F2,KLMT
PARV,F2,KLMT
PDPM,F2,KLMT
PNCU,F2,KLMT
CGPP,F2,LSSE
EDAP,F2,LSSE
MACE,F2,LSSE
PARV,F2,LSSE
JLSD,F2,MACE
KALR,F2,MACE
LSSE,F2,MACE
PARV,F2,MACE
CGPP,F2,MGRD
JLSD,F2,MGRD
PARV,F2,MGRD
ALVA,F2,MUTT
CCUV,F2,MUTT
CGPP,F2,MUTT
EDAP,F2,MUTT
PDPM,F2,MUTT
PNCU,F2,MUTT
