route_id,block_id,trip_id,shape_id,trip_headsign,service_id,direction_id,wheelchair_accessible
R001,4,R001WKR055636,R001_0,Maharaja College,WK,0,1
R001,4,R001WKL063147,R001_1,Aluva,WK,1,1
R001,4,R001WKR070646,R001_0,Maharaja College,WK,0,1
R001,4,R001WKL074147,R001_1,Aluva,WK,1,1
R001,4,R001WKR082155,R001_0,Maharaja College,WK,0,1
R001,4,R001WKL085727,R001_1,Aluva,WK,1,1
R001,4,R001WKR093226,R001_0,Maharaja College,WK,0,1
R001,4,R001WKL100727,R001_1,Aluva,WK,1,1
R001,4,R001WKR104226,R001_0,Maharaja College,WK,0,1
R001,4,R001WKL111727,R001_1,Aluva,WK,1,1
R001,4,R001WKR115226,R001_0,Maharaja College,WK,0,1
R001,4,R001WKL122727,R001_1,Aluva,WK,1,1
R001,4,R001WKR130226,R001_0,Maharaja College,WK,0,1
R001,4,R001WKL133727,R001_1,Aluva,WK,1,1
R001,4,R001WKR141226,R001_0,Maharaja College,WK,0,1
R001,4,R001WKL144727,R001_1,Aluva,WK,1,1
R001,4,R001WKR152226,R001_0,Maharaja College,WK,0,1
R001,4,R001WKL155727,R001_1,Aluva,WK,1,1
R001,4,R001WKR163226,R001_0,Maharaja College,WK,0,1
R001,4,R001WKL170727,R001_1,Aluva,WK,1,1
R001,4,R001WKR174226,R001_0,Maharaja College,WK,0,1
R001,4,R001WKL181727,R001_1,Aluva,WK,1,1
R001,4,R001WKR185226,R001_0,Maharaja College,WK,0,1
R001,4,R001WKL192727,R001_1,Aluva,WK,1,1
R001,3,R001WKL055639,R001_1,Aluva,WK,1,1
R001,3,R001WKR063145,R001_0,Maharaja College,WK,0,1
R001,3,R001WKL070646,R001_1,Aluva,WK,1,1
R001,3,R001WKR074216,R001_0,Maharaja College,WK,0,1
R001,3,R001WKL081726,R001_1,Aluva,WK,1,1
R001,3,R001WKR085655,R001_0,Maharaja College,WK,0,1
R001,3,R001WKL093226,R001_1,Aluva,WK,1,1
R001,3,R001WKR100725,R001_0,Maharaja College,WK,0,1
R001,3,R001WKL104226,R001_1,Aluva,WK,1,1
R001,3,R001WKR111725,R001_0,Maharaja College,WK,0,1
R001,3,R001WKL115226,R001_1,Aluva,WK,1,1
R001,3,R001WKR122725,R001_0,Maharaja College,WK,0,1
R001,3,R001WKL130226,R001_1,Aluva,WK,1,1
R001,3,R001WKR133725,R001_0,Maharaja College,WK,0,1
R001,3,R001WKL141226,R001_1,Aluva,WK,1,1
R001,3,R001WKR144725,R001_0,Maharaja College,WK,0,1
R001,3,R001WKL152226,R001_1,Aluva,WK,1,1
R001,3,R001WKR155725,R001_0,Maharaja College,WK,0,1
R001,3,R001WKL163226,R001_1,Aluva,WK,1,1
R001,3,R001WKR170725,R001_0,Maharaja College,WK,0,1
R001,3,R001WKL174226,R001_1,Aluva,WK,1,1
R001,3,R001WKR181725,R001_0,Maharaja College,WK,0,1
R001,3,R001WKL185226,R001_1,Aluva,WK,1,1
R001,3,R001WKR192725,R001_0,Maharaja College,WK,0,1
R001,3,R001WKL200226,R001_1,Aluva,WK,1,1
R001,1,R001WKL053247,R001_1,Aluva,WK,1,1
R001,1,R001WKR061405,R001_0,Maharaja College,WK,0,1
R001,1,R001WKL064906,R001_1,Aluva,WK,1,1
R001,1,R001WKR072016,R001_0,Maharaja College,WK,0,1
R001,1,R001WKL075536,R001_1,Aluva,WK,1,1
R001,1,R001WKR083035,R001_0,Maharaja College,WK,0,1
R001,1,R001WKL090601,R001_1,Aluva,WK,1,1
R001,1,R001WKR094100,R001_0,Maharaja College,WK,0,1
R001,1,R001WKL101601,R001_1,Aluva,WK,1,1
R001,1,R001WKR105100,R001_0,Maharaja College,WK,0,1
R001,1,R001WKL112601,R001_1,Aluva,WK,1,1
R001,1,R001WKR120100,R001_0,Maharaja College,WK,0,1
R001,1,R001WKL123601,R001_1,Aluva,WK,1,1
R001,1,R001WKR131100,R001_0,Maharaja College,WK,0,1
R001,1,R001WKL134601,R001_1,Aluva,WK,1,1
R001,1,R001WKR142100,R001_0,Maharaja College,WK,0,1
R001,1,R001WKL145601,R001_1,Aluva,WK,1,1
R001,1,R001WKR153100,R001_0,Maharaja College,WK,0,1
R001,1,R001WKL160601,R001_1,Aluva,WK,1,1
R001,1,R001WKR164100,R001_0,Maharaja College,WK,0,1
R001,1,R001WKL171601,R001_1,Aluva,WK,1,1
R001,1,R001WKR175100,R001_0,Maharaja College,WK,0,1
R001,1,R001WKL182601,R001_1,Aluva,WK,1,1
R001,1,R001WKR190100,R001_0,Maharaja College,WK,0,1
R001,1,R001WKL193601,R001_1,Aluva,WK,1,1
R001,1,R001WKR200819,R001_0,Maharaja College,WK,0,1
R001,1,R001WKL204306,R001_1,Aluva,WK,1,1
R001,1,R001WKR211222,R001_0,Maharaja College,WK,0,1
R001,1,R001WKL214826,R001_1,Aluva,WK,1,1
R001,2,R001WKR053611,R001_0,Maharaja College,WK,0,1
R001,2,R001WKL061359,R001_1,Aluva,WK,1,1
R001,2,R001WKR064858,R001_0,Maharaja College,WK,0,1
R001,2,R001WKL072359,R001_1,Aluva,WK,1,1
R001,2,R001WKR080128,R001_0,Maharaja College,WK,0,1
R001,2,R001WKL083709,R001_1,Aluva,WK,1,1
R001,2,R001WKR091438,R001_0,Maharaja College,WK,0,1
R001,2,R001WKL094939,R001_1,Aluva,WK,1,1
R001,2,R001WKR102438,R001_0,Maharaja College,WK,0,1
R001,2,R001WKL105939,R001_1,Aluva,WK,1,1
R001,2,R001WKR113438,R001_0,Maharaja College,WK,0,1
R001,2,R001WKL120939,R001_1,Aluva,WK,1,1
R001,2,R001WKR124438,R001_0,Maharaja College,WK,0,1
R001,2,R001WKL131939,R001_1,Aluva,WK,1,1
R001,2,R001WKR135438,R001_0,Maharaja College,WK,0,1
R001,2,R001WKL142939,R001_1,Aluva,WK,1,1
R001,2,R001WKR150438,R001_0,Maharaja College,WK,0,1
R001,2,R001WKL153939,R001_1,Aluva,WK,1,1
R001,2,R001WKR161438,R001_0,Maharaja College,WK,0,1
R001,2,R001WKL164939,R001_1,Aluva,WK,1,1
R001,2,R001WKR172438,R001_0,Maharaja College,WK,0,1
R001,2,R001WKL175939,R001_1,Aluva,WK,1,1
R001,2,R001WKR183438,R001_0,Maharaja College,WK,0,1
R001,2,R001WKL190939,R001_1,Aluva,WK,1,1
R001,2,R001WKR194438,R001_0,Maharaja College,WK,0,1
R001,2,R001WKL201939,R001_1,Aluva,WK,1,1
R001,2,R001WKR205908,R001_0,Maharaja College,WK,0,1
R001,2,R001WKL213419,R001_1,Aluva,WK,1,1
R001,5,R001WKR073240,R001_0,Maharaja College,WK,0,1
R001,5,R001WKL080727,R001_1,Aluva,WK,1,1
R001,5,R001WKR083844,R001_0,Maharaja College,WK,0,1
R001,5,R001WKL091457,R001_1,Aluva,WK,1,1
R001,5,R001WKR094956,R001_0,Maharaja College,WK,0,1
R001,5,R001WKL102457,R001_1,Aluva,WK,1,1
R001,5,R001WKR105956,R001_0,Maharaja College,WK,0,1
R001,5,R001WKL113457,R001_1,Aluva,WK,1,1
R001,5,R001WKR120956,R001_0,Maharaja College,WK,0,1
R001,5,R001WKL124457,R001_1,Aluva,WK,1,1
R001,5,R001WKR131956,R001_0,Maharaja College,WK,0,1
R001,5,R001WKL135457,R001_1,Aluva,WK,1,1
R001,5,R001WKR142956,R001_0,Maharaja College,WK,0,1
R001,5,R001WKL150457,R001_1,Aluva,WK,1,1
R001,5,R001WKR153956,R001_0,Maharaja College,WK,0,1
R001,5,R001WKL161457,R001_1,Aluva,WK,1,1
R001,5,R001WKR164956,R001_0,Maharaja College,WK,0,1
R001,5,R001WKL172457,R001_1,Aluva,WK,1,1
R001,5,R001WKR175956,R001_0,Maharaja College,WK,0,1
R001,5,R001WKL183457,R001_1,Aluva,WK,1,1
R001,5,R001WKR190956,R001_0,Maharaja College,WK,0,1
R001,5,R001WKL194457,R001_1,Aluva,WK,1,1
R001,5,R001WKR201956,R001_0,Maharaja College,WK,0,1
R001,5,R001WKL205443,R001_1,Aluva,WK,1,1
R001,5,R001WKR212701,R001_0,Maharaja College,WK,0,1
R001,5,R001WKL215649,R001_1,Aluva,WK,1,1
R001,6,R001WKR075240,R001_0,Maharaja College,WK,0,1
R001,6,R001WKL082727,R001_1,Aluva,WK,1,1
R001,6,R001WKR090539,R001_0,Maharaja College,WK,0,1
R001,6,R001WKL094112,R001_1,Aluva,WK,1,1
R001,6,R001WKR101611,R001_0,Maharaja College,WK,0,1
R001,6,R001WKL105112,R001_1,Aluva,WK,1,1
R001,6,R001WKR112611,R001_0,Maharaja College,WK,0,1
R001,6,R001WKL120112,R001_1,Aluva,WK,1,1
R001,6,R001WKR123611,R001_0,Maharaja College,WK,0,1
R001,6,R001WKL131112,R001_1,Aluva,WK,1,1
R001,6,R001WKR134611,R001_0,Maharaja College,WK,0,1
R001,6,R001WKL142112,R001_1,Aluva,WK,1,1
R001,6,R001WKR145611,R001_0,Maharaja College,WK,0,1
R001,6,R001WKL153112,R001_1,Aluva,WK,1,1
R001,6,R001WKR160611,R001_0,Maharaja College,WK,0,1
R001,6,R001WKL164112,R001_1,Aluva,WK,1,1
R001,6,R001WKR171611,R001_0,Maharaja College,WK,0,1
R001,6,R001WKL175112,R001_1,Aluva,WK,1,1
R001,6,R001WKR182611,R001_0,Maharaja College,WK,0,1
R001,6,R001WKL190112,R001_1,Aluva,WK,1,1
R001,6,R001WKR193611,R001_0,Maharaja College,WK,0,1
R001,6,R001WKL201112,R001_1,Aluva,WK,1,1
R001,6,R001WKR204526,R001_0,Maharaja College,WK,0,1
R001,6,R001WKL212037,R001_1,Aluva,WK,1,1
R001,6,R001WKR215607,R001_0,Maharaja College,WK,0,1
R001,7,R001WKR081202,R001_0,Maharaja College,WK,0,1
R001,7,R001WKL084727,R001_1,Aluva,WK,1,1
R001,7,R001WKR092336,R001_0,Maharaja College,WK,0,1
R001,7,R001WKL095842,R001_1,Aluva,WK,1,1
R001,7,R001WKR103341,R001_0,Maharaja College,WK,0,1
R001,7,R001WKL110842,R001_1,Aluva,WK,1,1
R001,7,R001WKR114341,R001_0,Maharaja College,WK,0,1
R001,7,R001WKL121842,R001_1,Aluva,WK,1,1
R001,7,R001WKR125341,R001_0,Maharaja College,WK,0,1
R001,7,R001WKL132842,R001_1,Aluva,WK,1,1
R001,7,R001WKR140341,R001_0,Maharaja College,WK,0,1
R001,7,R001WKL143842,R001_1,Aluva,WK,1,1
R001,7,R001WKR151341,R001_0,Maharaja College,WK,0,1
R001,7,R001WKL154842,R001_1,Aluva,WK,1,1
R001,7,R001WKR162341,R001_0,Maharaja College,WK,0,1
R001,7,R001WKL165842,R001_1,Aluva,WK,1,1
R001,7,R001WKR173341,R001_0,Maharaja College,WK,0,1
R001,7,R001WKL180842,R001_1,Aluva,WK,1,1
R001,7,R001WKR184341,R001_0,Maharaja College,WK,0,1
R001,7,R001WKL191842,R001_1,Aluva,WK,1,1
R001,7,R001WKR195533,R001_0,Maharaja College,WK,0,1
R001,7,R001WKL203137,R001_1,Aluva,WK,1,1
R001,8,R001WKR084855,R001_0,Maharaja College,WK,0,1
R001,8,R001WKL092342,R001_1,Aluva,WK,1,1
R001,8,R001WKR095841,R001_0,Maharaja College,WK,0,1
R001,8,R001WKL103342,R001_1,Aluva,WK,1,1
R001,8,R001WKR110841,R001_0,Maharaja College,WK,0,1
R001,8,R001WKL114342,R001_1,Aluva,WK,1,1
R001,8,R001WKR121841,R001_0,Maharaja College,WK,0,1
R001,8,R001WKL125342,R001_1,Aluva,WK,1,1
R001,8,R001WKR132841,R001_0,Maharaja College,WK,0,1
R001,8,R001WKL140342,R001_1,Aluva,WK,1,1
R001,8,R001WKR143841,R001_0,Maharaja College,WK,0,1
R001,8,R001WKL151342,R001_1,Aluva,WK,1,1
R001,8,R001WKR154841,R001_0,Maharaja College,WK,0,1
R001,8,R001WKL162342,R001_1,Aluva,WK,1,1
R001,8,R001WKR165841,R001_0,Maharaja College,WK,0,1
R001,8,R001WKL173342,R001_1,Aluva,WK,1,1
R001,8,R001WKR180841,R001_0,Maharaja College,WK,0,1
R001,8,R001WKL184342,R001_1,Aluva,WK,1,1
R001,8,R001WKR191841,R001_0,Maharaja College,WK,0,1
R001,8,R001WKL195342,R001_1,Aluva,WK,1,1
R001,8,R001WKR203111,R001_0,Maharaja College,WK,0,1
R001,8,R001WKL210637,R001_1,Aluva,WK,1,1
R001,8,R001WKR214136,R001_0,Maharaja College,WK,0,1
R001,4,R001SUR075636,R001_0,Maharaja College,SU,0,1
R001,4,R001SUL083147,R001_1,Aluva,SU,1,1
R001,4,R001SUR090646,R001_0,Maharaja College,SU,0,1
R001,4,R001SUL094147,R001_1,Aluva,SU,1,1
R001,4,R001SUR102155,R001_0,Maharaja College,SU,0,1
R001,4,R001SUL105727,R001_1,Aluva,SU,1,1
R001,4,R001SUR113226,R001_0,Maharaja College,SU,0,1
R001,4,R001SUL120727,R001_1,Aluva,SU,1,1
R001,4,R001SUR124226,R001_0,Maharaja College,SU,0,1
R001,4,R001SUL131727,R001_1,Aluva,SU,1,1
R001,4,R001SUR135226,R001_0,Maharaja College,SU,0,1
R001,4,R001SUL142727,R001_1,Aluva,SU,1,1
R001,4,R001SUR150226,R001_0,Maharaja College,SU,0,1
R001,4,R001SUL153727,R001_1,Aluva,SU,1,1
R001,4,R001SUR161226,R001_0,Maharaja College,SU,0,1
R001,4,R001SUL164727,R001_1,Aluva,SU,1,1
R001,4,R001SUR172226,R001_0,Maharaja College,SU,0,1
R001,4,R001SUL175727,R001_1,Aluva,SU,1,1
R001,4,R001SUR183226,R001_0,Maharaja College,SU,0,1
R001,4,R001SUL190727,R001_1,Aluva,SU,1,1
R001,4,R001SUR194418,R001_0,Maharaja College,SU,0,1
R001,4,R001SUL201939,R001_1,Aluva,SU,1,1
R001,4,R001SUR205908,R001_0,Maharaja College,SU,0,1
R001,4,R001SUL213419,R001_1,Aluva,SU,1,1
R001,3,R001SUL075639,R001_1,Aluva,SU,1,1
R001,3,R001SUR083145,R001_0,Maharaja College,SU,0,1
R001,3,R001SUL090646,R001_1,Aluva,SU,1,1
R001,3,R001SUR094216,R001_0,Maharaja College,SU,0,1
R001,3,R001SUL101726,R001_1,Aluva,SU,1,1
R001,3,R001SUR105655,R001_0,Maharaja College,SU,0,1
R001,3,R001SUL113226,R001_1,Aluva,SU,1,1
R001,3,R001SUR120725,R001_0,Maharaja College,SU,0,1
R001,3,R001SUL124226,R001_1,Aluva,SU,1,1
R001,3,R001SUR131725,R001_0,Maharaja College,SU,0,1
R001,3,R001SUL135226,R001_1,Aluva,SU,1,1
R001,3,R001SUR142725,R001_0,Maharaja College,SU,0,1
R001,3,R001SUL150226,R001_1,Aluva,SU,1,1
R001,3,R001SUR153725,R001_0,Maharaja College,SU,0,1
R001,3,R001SUL161226,R001_1,Aluva,SU,1,1
R001,3,R001SUR164725,R001_0,Maharaja College,SU,0,1
R001,3,R001SUL172226,R001_1,Aluva,SU,1,1
R001,3,R001SUR175725,R001_0,Maharaja College,SU,0,1
R001,3,R001SUL183226,R001_1,Aluva,SU,1,1
R001,3,R001SUR190725,R001_0,Maharaja College,SU,0,1
R001,3,R001SUL194423,R001_1,Aluva,SU,1,1
R001,3,R001SUR201956,R001_0,Maharaja College,SU,0,1
R001,3,R001SUL205443,R001_1,Aluva,SU,1,1
R001,3,R001SUR212701,R001_0,Maharaja College,SU,0,1
R001,3,R001SUL215649,R001_1,Aluva,SU,1,1
R001,1,R001SUL073247,R001_1,Aluva,SU,1,1
R001,1,R001SUR081405,R001_0,Maharaja College,SU,0,1
R001,1,R001SUL084906,R001_1,Aluva,SU,1,1
R001,1,R001SUR092016,R001_0,Maharaja College,SU,0,1
R001,1,R001SUL095536,R001_1,Aluva,SU,1,1
R001,1,R001SUR103035,R001_0,Maharaja College,SU,0,1
R001,1,R001SUL110601,R001_1,Aluva,SU,1,1
R001,1,R001SUR114100,R001_0,Maharaja College,SU,0,1
R001,1,R001SUL121601,R001_1,Aluva,SU,1,1
R001,1,R001SUR125100,R001_0,Maharaja College,SU,0,1
R001,1,R001SUL132601,R001_1,Aluva,SU,1,1
R001,1,R001SUR140100,R001_0,Maharaja College,SU,0,1
R001,1,R001SUL143601,R001_1,Aluva,SU,1,1
R001,1,R001SUR151100,R001_0,Maharaja College,SU,0,1
R001,1,R001SUL154601,R001_1,Aluva,SU,1,1
R001,1,R001SUR162100,R001_0,Maharaja College,SU,0,1
R001,1,R001SUL165601,R001_1,Aluva,SU,1,1
R001,1,R001SUR173100,R001_0,Maharaja College,SU,0,1
R001,1,R001SUL180601,R001_1,Aluva,SU,1,1
R001,1,R001SUR184100,R001_0,Maharaja College,SU,0,1
R001,1,R001SUL191601,R001_1,Aluva,SU,1,1
R001,1,R001SUR195617,R001_0,Maharaja College,SU,0,1
R001,1,R001SUL203137,R001_1,Aluva,SU,1,1
R001,2,R001SUR073611,R001_0,Maharaja College,SU,0,1
R001,2,R001SUL081359,R001_1,Aluva,SU,1,1
R001,2,R001SUR084858,R001_0,Maharaja College,SU,0,1
R001,2,R001SUL092359,R001_1,Aluva,SU,1,1
R001,2,R001SUR100128,R001_0,Maharaja College,SU,0,1
R001,2,R001SUL103709,R001_1,Aluva,SU,1,1
R001,2,R001SUR111438,R001_0,Maharaja College,SU,0,1
R001,2,R001SUL114939,R001_1,Aluva,SU,1,1
R001,2,R001SUR122438,R001_0,Maharaja College,SU,0,1
R001,2,R001SUL125939,R001_1,Aluva,SU,1,1
R001,2,R001SUR133438,R001_0,Maharaja College,SU,0,1
R001,2,R001SUL140939,R001_1,Aluva,SU,1,1
