block_id,direction_id,route_id,service_id,shape_id,trip_headsign,trip_id,trip_short_name,wheelchair_accessible
1,0,R1,SU,R1_0,Maharaja College,R1SUR184100,18:41 Maharaja College,1
1,1,R1,SU,R1_1,Aluva,R1SUL191601,19:16 Aluva,1
1,0,R1,SU,R1_0,Maharaja College,R1SUR195617,19:56 Maharaja College,1
1,1,R1,SU,R1_1,Aluva,R1SUL203137,20:31 Aluva,1
2,0,R1,SU,R1_0,Maharaja College,R1SUR073611,07:36 Maharaja College,1
2,1,R1,SU,R1_1,Aluva,R1SUL081359,08:13 Aluva,1
2,0,R1,SU,R1_0,Maharaja College,R1SUR084858,08:48 Maharaja College,1
2,1,R1,SU,R1_1,Aluva,R1SUL092359,09:23 Aluva,1
2,0,R1,SU,R1_0,Maharaja College,R1SUR100128,10:01 Maharaja College,1
2,1,R1,SU,R1_1,Aluva,R1SUL103709,10:37 Aluva,1
2,0,R1,SU,R1_0,Maharaja College,R1SUR111438,11:14 Maharaja College,1
2,1,R1,SU,R1_1,Aluva,R1SUL114939,11:49 Aluva,1
2,0,R1,SU,R1_0,Maharaja College,R1SUR122438,12:24 Maharaja College,1
2,1,R1,SU,R1_1,Aluva,R1SUL125939,12:59 Aluva,1
2,0,R1,SU,R1_0,Maharaja College,R1SUR133438,13:34 Maharaja College,1
2,1,R1,SU,R1_1,Aluva,R1SUL140939,14:09 Aluva,1
2,0,R1,SU,R1_0,Maharaja College,R1SUR144438,14:44 Maharaja College,1
2,1,R1,SU,R1_1,Aluva,R1SUL151939,15:19 Aluva,1
2,0,R1,SU,R1_0,Maharaja College,R1SUR155438,15:54 Maharaja College,1
2,1,R1,SU,R1_1,Aluva,R1SUL162939,16:29 Aluva,1
2,0,R1,SU,R1_0,Maharaja College,R1SUR170438,17:04 Maharaja College,1
2,1,R1,SU,R1_1,Aluva,R1SUL173939,17:39 Aluva,1
2,0,R1,SU,R1_0,Maharaja College,R1SUR181438,18:14 Maharaja College,1
2,1,R1,SU,R1_1,Aluva,R1SUL184939,18:49 Aluva,1
2,0,R1,SU,R1_0,Maharaja College,R1SUR192438,19:24 Maharaja College,1
2,1,R1,SU,R1_1,Aluva,R1SUL200218,20:02 Aluva,1
5,0,R1,SU,R1_0,Maharaja College,R1SUR093240,09:32 Maharaja College,1
5,1,R1,SU,R1_1,Aluva,R1SUL100727,10:07 Aluva,1
5,0,R1,SU,R1_0,Maharaja College,R1SUR103844,10:38 Maharaja College,1
5,1,R1,SU,R1_1,Aluva,R1SUL111457,11:14 Aluva,1
5,0,R1,SU,R1_0,Maharaja College,R1SUR114956,11:49 Maharaja College,1
5,1,R1,SU,R1_1,Aluva,R1SUL122457,12:24 Aluva,1
5,0,R1,SU,R1_0,Maharaja College,R1SUR125956,12:59 Maharaja College,1
5,1,R1,SU,R1_1,Aluva,R1SUL133457,13:34 Aluva,1
5,0,R1,SU,R1_0,Maharaja College,R1SUR140956,14:09 Maharaja College,1
5,1,R1,SU,R1_1,Aluva,R1SUL144457,14:44 Aluva,1
5,0,R1,SU,R1_0,Maharaja College,R1SUR151956,15:19 Maharaja College,1
5,1,R1,SU,R1_1,Aluva,R1SUL155457,15:54 Aluva,1
5,0,R1,SU,R1_0,Maharaja College,R1SUR162956,16:29 Maharaja College,1
5,1,R1,SU,R1_1,Aluva,R1SUL170457,17:04 Aluva,1
5,0,R1,SU,R1_0,Maharaja College,R1SUR173956,17:39 Maharaja College,1
5,1,R1,SU,R1_1,Aluva,R1SUL181457,18:14 Aluva,1
5,0,R1,SU,R1_0,Maharaja College,R1SUR184956,18:49 Maharaja College,1
5,1,R1,SU,R1_1,Aluva,R1SUL192457,19:24 Aluva,1
6,0,R1,SU,R1_0,Maharaja College,R1SUR095240,09:52 Maharaja College,1
6,1,R1,SU,R1_1,Aluva,R1SUL102727,10:27 Aluva,1
6,0,R1,SU,R1_0,Maharaja College,R1SUR110539,11:05 Maharaja College,1
6,1,R1,SU,R1_1,Aluva,R1SUL114112,11:41 Aluva,1
6,0,R1,SU,R1_0,Maharaja College,R1SUR121611,12:16 Maharaja College,1
6,1,R1,SU,R1_1,Aluva,R1SUL125112,12:51 Aluva,1
6,0,R1,SU,R1_0,Maharaja College,R1SUR132611,13:26 Maharaja College,1
6,1,R1,SU,R1_1,Aluva,R1SUL140112,14:01 Aluva,1
6,0,R1,SU,R1_0,Maharaja College,R1SUR143611,14:36 Maharaja College,1
6,1,R1,SU,R1_1,Aluva,R1SUL151112,15:11 Aluva,1
6,0,R1,SU,R1_0,Maharaja College,R1SUR154611,15:46 Maharaja College,1
6,1,R1,SU,R1_1,Aluva,R1SUL162112,16:21 Aluva,1
6,0,R1,SU,R1_0,Maharaja College,R1SUR165611,16:56 Maharaja College,1
6,1,R1,SU,R1_1,Aluva,R1SUL173112,17:31 Aluva,1
6,0,R1,SU,R1_0,Maharaja College,R1SUR180611,18:06 Maharaja College,1
