route_id,service_id,trip_id,trip_headsign,direction_id,block_id,shape_id,wheelchair_accessible
R001,WK,R001WKR055636,Maharaja College,0,4,R001_0,1
R001,WK,R001WKL063147,Aluva,1,4,R001_1,1
R001,WK,R001WKR070646,Maharaja College,0,4,R001_0,1
R001,WK,R001WKL074147,Aluva,1,4,R001_1,1
R001,WK,R001WKR082155,Maharaja College,0,4,R001_0,1
R001,WK,R001WKL085727,Aluva,1,4,R001_1,1
R001,WK,R001WKR093226,Maharaja College,0,4,R001_0,1
R001,WK,R001WKL100727,Aluva,1,4,R001_1,1
R001,WK,R001WKR104226,Maharaja College,0,4,R001_0,1
R001,WK,R001WKL111727,Aluva,1,4,R001_1,1
R001,WK,R001WKR115226,Maharaja College,0,4,R001_0,1
R001,WK,R001WKL122727,Aluva,1,4,R001_1,1
R001,WK,R001WKR130226,Maharaja College,0,4,R001_0,1
R001,WK,R001WKL133727,Aluva,1,4,R001_1,1
R001,WK,R001WKR141226,Maharaja College,0,4,R001_0,1
R001,WK,R001WKL144727,Aluva,1,4,R001_1,1
R001,WK,R001WKR152226,Maharaja College,0,4,R001_0,1
R001,WK,R001WKL155727,Aluva,1,4,R001_1,1
R001,WK,R001WKR163226,Maharaja College,0,4,R001_0,1
R001,WK,R001WKL170727,Aluva,1,4,R001_1,1
R001,WK,R001WKR174226,Maharaja College,0,4,R001_0,1
R001,WK,R001WKL181727,Aluva,1,4,R001_1,1
R001,WK,R001WKR185226,Maharaja College,0,4,R001_0,1
R001,WK,R001WKL192727,Aluva,1,4,R001_1,1
R001,WK,R001WKL055639,Aluva,1,3,R001_1,1
R001,WK,R001WKR063145,Maharaja College,0,3,R001_0,1
R001,WK,R001WKL070646,Aluva,1,3,R001_1,1
R001,WK,R001WKR074216,Maharaja College,0,3,R001_0,1
R001,WK,R001WKL081726,Aluva,1,3,R001_1,1
R001,WK,R001WKR085655,Maharaja College,0,3,R001_0,1
R001,WK,R001WKL093226,Aluva,1,3,R001_1,1
R001,WK,R001WKR100725,Maharaja College,0,3,R001_0,1
R001,WK,R001WKL104226,Aluva,1,3,R001_1,1
R001,WK,R001WKR111725,Maharaja College,0,3,R001_0,1
R001,WK,R001WKL115226,Aluva,1,3,R001_1,1
