service_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date
1808FA-D2-Sunday-01,0,0,0,0,0,0,1,20180812,20181216
1808FA-D2-Sunday-01-1,0,0,0,0,0,1,0,20180811,20181215
1808FA-D2-Weekday-03,1,1,1,1,1,0,0,20180813,20181221
1808FA-D2-Weekday-03-SDOKon-0010000,0,0,1,0,0,0,0,20180813,20181221
1808FA-D2-Weekday-03-SDOKon-1101100,1,1,0,1,1,0,0,20180813,20181221
1808FA-D2-Weekday-03-SDon-0000100,0,0,0,0,1,0,0,20180813,20181221
1808FA-D2-Weekday-03-SDon,1,1,1,1,1,0,0,20180813,20181221
1808FA-D2-Weekday-03-SDOKon,1,1,1,1,1,0,0,20180813,20181221
1808FA-D2-Saturday-01,0,0,0,0,0,1,0,20180818,20181222
1808FA-D2-Saturday-01-1,0,0,0,0,1,0,0,20180817,20181221
1808FA-D2WACKY-Weekday-01,1,1,1,1,1,0,0,20180813,20181221
1808FA-D2WACKY-Weekday-01-HEADon,1,1,1,1,1,0,0,20180813,20181221
1808FA-D2WACKY-Weekday-01-BISHon,1,1,1,1,1,0,0,20180813,20181221
1808FA-D2WACKY-Weekday-01-OAKLon,1,1,1,1,1,0,0,20180813,20181221
1808FA-D2WACKY-Weekday-01-OAKTon,1,1,1,1,1,0,0,20180813,20181221
1808FA-D2WACKY-Weekday-01-BHOKon,1,1,1,1,1,0,0,20180813,20181221
1808FA-D2WACKY-Weekday-01-WESTon,1,1,1,1,1,0,0,20180813,20181221
1808FA-D2WACKY-Weekday-01-SKYLon,1,1,1,1,1,0,0,20180813,20181221
1808FA-D3-Sunday-02,0,0,0,0,0,0,1,20180812,20181216
1808FA-D3-Weekday-01,1,1,1,1,1,0,0,20180813,20181221
1808FA-D3-Weekday-01-SDWCon-0010000,0,0,1,0,0,0,0,20180813,20181221
1808FA-D3-Weekday-01-SDWCon-1110100,1,1,1,0,1,0,0,20180813,20181221
1808FA-D3-Weekday-01-SDWCon-1101100,1,1,0,1,1,0,0,20180813,20181221
1808FA-D3-Weekday-01-SDWCon-0001000,0,0,0,1,0,0,0,20180813,20181221
1808FA-D3-Weekday-01-SDWCon,1,1,1,1,1,0,0,20180813,20181221
1808FA-D3-Saturday-01,0,0,0,0,0,1,0,20180818,20181222
1808FA-D3WACKY-Weekday-01,1,1,1,1,1,0,0,20180813,20181221
1808FA-D3WACKY-Weekday-01-KNDYon,1,1,1,1,1,0,0,20180813,20181221
1808FA-D3WACKY-Weekday-01-HELMon,1,1,1,1,1,0,0,20180813,20181221
1808FA-D3WACKY-Weekday-01-ECRTon,1,1,1,1,1,0,0,20180813,20181221
1808FA-D3WACKY-Weekday-01-KOREon,1,1,1,1,1,0,0,20180813,20181221
1808FA-D3WACKY-Weekday-01-DEJNon,1,1,1,1,1,0,0,20180813,20181221
1808FA-D3WACKY-Weekday-01-DANZon,1,1,1,1,1,0,0,20180813,20181221
1808FA-D3WACKY-Weekday-01-CRSPon,1,1,1,1,1,0,0,20180813,20181221
1808FA-D4-Sunday-01,0,0,0,0,0,0,1,20180812,20181216
1808FA-D4-Sunday-01-1,0,0,0,0,0,1,0,20180811,20181215
1808FA-D4-Weekday-01,1,1,1,1,1,0,0,20180813,20181221
1808FA-D4-Weekday-01-1,1,1,1,1,0,0,1,20180812,20181220
1808FA-D4-Weekday-01--1010100,1,0,1,0,1,0,0,20180813,20181221
1808FA-D4-Weekday-01--0101000,0,1,0,1,0,0,0,20180813,20181221
1808FA-D4-Weekday-01-SDALon-0000100,0,0,0,0,1,0,0,20180813,20181221
1808FA-D4-Weekday-01-SDALon-0010000,0,0,1,0,0,0,0,20180813,20181221
1808FA-D4-Weekday-01-SDOKon-1101100,1,1,0,1,1,0,0,20180813,20181221
1808FA-D4-Weekday-01-SDALon-1101100,1,1,0,1,1,0,0,20180813,20181221
