service_id,date,exception_type
1808FA-D2-Sunday-01,20180903,1
1808FA-D2-Sunday-01-1,20180902,1
1808FA-D2-Sunday-01,20181122,1
1808FA-D2-Sunday-01-1,20181121,1
1808FA-D2-Weekday-03,20180903,2
1808FA-D2-Weekday-03-SDOKon-0010000,20180903,2
1808FA-D2-Weekday-03-SDOKon-1101100,20180903,2
1808FA-D2-Weekday-03-SDon-0000100,20180903,2
1808FA-D2-Weekday-03-SDon,20180903,2
1808FA-D2-Weekday-03-SDOKon,20180903,2
1808FA-D2-Weekday-03,20181122,2
1808FA-D2-Weekday-03-SDOKon-0010000,20181122,2
1808FA-D2-Weekday-03-SDOKon-1101100,20181122,2
1808FA-D2-Weekday-03-SDon-0000100,20181122,2
1808FA-D2-Weekday-03-SDon,20181122,2
1808FA-D2-Weekday-03-SDOKon,20181122,2
1808FA-D2-Weekday-03-SDon-0000100,20180813,2
1808FA-D2-Weekday-03-SDon,20180813,2
1808FA-D2-Weekday-03-SDon-0000100,20180814,2
1808FA-D2-Weekday-03-SDon,20180814,2
1808FA-D2-Weekday-03-SDOKon-0010000,20180928,2
1808FA-D2-Weekday-03-SDOKon-1101100,20180928,2
1808FA-D2-Weekday-03-SDOKon,20180928,2
1808FA-D2-Weekday-03-SDOKon-0010000,20181019,2
1808FA-D2-Weekday-03-SDOKon-1101100,20181019,2
1808FA-D2-Weekday-03-SDOKon,20181019,2
1808FA-D2-Weekday-03-SDOKon-0010000,20181112,2
1808FA-D2-Weekday-03-SDOKon-1101100,20181112,2
1808FA-D2-Weekday-03-SDOKon,20181112,2
1808FA-D2-Weekday-03-SDOKon-0010000,20181119,2
1808FA-D2-Weekday-03-SDOKon-1101100,20181119,2
1808FA-D2-Weekday-03-SDOKon,20181119,2
1808FA-D2-Weekday-03-SDOKon-0010000,20181120,2
1808FA-D2-Weekday-03-SDOKon-1101100,20181120,2
1808FA-D2-Weekday-03-SDOKon,20181120,2
1808FA-D2-Weekday-03-SDOKon-0010000,20181121,2
1808FA-D2-Weekday-03-SDOKon-1101100,20181121,2
1808FA-D2-Weekday-03-SDOKon,20181121,2
1808FA-D2-Weekday-03-SDon-0000100,20181123,2
1808FA-D2-Weekday-03-SDon,20181123,2
1808FA-D2-Weekday-03-SDOKon-0010000,20181123,2
1808FA-D2-Weekday-03-SDOKon-1101100,20181123,2
1808FA-D2-Weekday-03-SDOKon,20181123,2
1808FA-D2WACKY-Weekday-01,20180903,2
1808FA-D2WACKY-Weekday-01-HEADon,20180903,2
1808FA-D2WACKY-Weekday-01-BISHon,20180903,2
1808FA-D2WACKY-Weekday-01-OAKLon,20180903,2
1808FA-D2WACKY-Weekday-01-OAKTon,20180903,2
1808FA-D2WACKY-Weekday-01-BHOKon,20180903,2
1808FA-D2WACKY-Weekday-01-WESTon,20180903,2
1808FA-D2WACKY-Weekday-01-SKYLon,20180903,2
1808FA-D2WACKY-Weekday-01,20181122,2
1808FA-D2WACKY-Weekday-01-HEADon,20181122,2
