stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station
0100060,52246,8th St:Portola Av,,  37.7688136,-122.2729918,,,0,
0100070,57793,8th St:Portola Av,,  37.7689929,-122.2727976,,,0,
0100110,56707,Atlantic Av:#1105,,  37.7802724,-122.2640149,,,0,
0100170,57796,Atlantic Av:Challenger Dr,,  37.7810663,-122.2700596,,,0,
0100180,50101,Atlantic Av:Constitution Way,,  37.7798785,-122.2752813,,,0,
0100220,54332,Atlantic Av:Triumph Dr,,  37.7807990,-122.2661250,,,0,
0100230,56717,Atlantic Av:Triumph Dr,,  37.7806045,-122.2655398,,,0,
0100250,50545,Atlantic Av:Webster St,,  37.7795991,-122.2761214,,,0,
0100270,56711,Aughinbaugh Way:Kofman Pkwy,,  37.7417132,-122.2501248,,,0,
0100280,55876,Aughinbaugh Way:Mecartney Rd,,  37.7387449,-122.2521401,,,0,
0100290,55852,Aughinbaugh Way:Mecartney Rd,,  37.7384631,-122.2519600,,,0,
0100300,52110,Aughinbaugh Way:Robert Davey Jr Dr,,  37.7424852,-122.2501082,,,0,
0100310,55487,Aughinbaugh Way:Robert Davey Jr Dr,,  37.7428892,-122.2499625,,,0,
0100320,56504,Aughinbaugh Way:The Lagoon,,  37.7409359,-122.2510362,,,0,
0100330,52420,Aughinbaugh Way:The Lagoon,,  37.7405185,-122.2511912,,,0,
0100340,55987,Blanding Av:Broadway,,  37.7685807,-122.2337700,,,0,place_BDBL
0100350,56668,Blanding Av:Broadway,,  37.7687412,-122.2337312,,,0,place_BDBL
0100460,52249,Broadway:Santa Clara Av,,  37.7637310,-122.2380619,,,0,
0100470,51545,Broadway:Tilden Way,,  37.7674598,-122.2351626,,,0,
0100560,52545,Buena Vista Av:Chestnut St,,  37.7727954,-122.2501047,,,0,
0100570,51770,Buena Vista Av:Chestnut St,,  37.7724473,-122.2496405,,,0,
0100710,56050,Buena Vista Av:Sherman St,,  37.7768736,-122.2627410,,,0,
0100730,51525,Buena Vista Av:Sherman St,,  37.7767549,-122.2628258,,,0,
0100760,59771,Buena Vista Av:Walnut St,,  37.7699720,-122.2439454,,,0,
0100770,56722,Buena Vista Av:Walnut St,,  37.7703221,-122.2444160,,,0,
0100780,58993,Buena Vista Av:Willow St,,  37.7713737,-122.2471736,,,0,
0100860,54233,Central Av:8th St,,  37.7714301,-122.2732542,,,0,
0100870,54330,Central Av:8th St,,  37.7712326,-122.2732483,,,0,
0100900,58331,Central Av:Bay St,,  37.7711992,-122.2649515,,,0,
0100910,57978,Central Av:Bay St,,  37.7710470,-122.2648877,,,0,
0100930,59430,Central Av:Weber St,,  37.7711515,-122.2692090,,,0,
0100940,59865,Central Av:Weber St,,  37.7713304,-122.2691816,,,0,
0100960,53365,Central Av:Webster St,,  37.7713531,-122.2763974,,,0,
0100970,58996,Challenger Dr:Atlantic Av,,  37.7814638,-122.2707894,,,0,
0101010,59123,Encinal Av:Alameda High School,,  37.7637599,-122.2468570,,,0,
0101020,56758,Encinal Av:Benton St,,  37.7702591,-122.2617267,,,0,
0101050,53040,Encinal Av:Chestnut St,,  37.7668146,-122.2537862,,,0,
0101060,52664,Encinal Av:Chestnut St,,  37.7667447,-122.2541440,,,0,
0101070,56340,Encinal Av:Fountain St,,  37.7566958,-122.2347166,,,0,
0101080,52994,Encinal Av:Grand St,,  37.7687916,-122.2583872,,,0,
0101090,51213,Encinal Av:Grand St,,  37.7686086,-122.2583664,,,0,
0101100,56589,Encinal Av:High St,,  37.7562837,-122.2343955,,,0,
0101110,56810,Encinal Av:Mound St,,  37.7579110,-122.2367080,,,0,
0101120,56733,Encinal Av:Mound St,,  37.7577388,-122.2361824,,,0,
0101130,53531,Encinal Av:Park Av,,  37.7617331,-122.2426842,,,0,
0101140,51144,Encinal Av:Park Av W,,  37.7618810,-122.2432080,,,0,
0101150,54130,Encinal Av:Paru St,,  37.7693499,-122.2600371,,,0,
0101170,59334,Encinal Av:Versailles Av,,  37.7592360,-122.2386760,,,0,
0101190,56787,Encinal Av:Walnut St (Alameda High School),,  37.7640850,-122.2479430,,,0,
0101240,53004,Fernside Blvd:Harvard Dr,,  37.7652491,-122.2290664,,,0,
0101250,56989,Fernside Blvd:Harvard Dr,,  37.7652218,-122.2286908,,,0,
