origin_id,destination_id,fare_id
AME,AME,F1
AME,BEG,F1
AME,BLR,F3
AME,BTN,F2
AME,ERA,F2
AME,ESI,F1
AME,HSG,F6
AME,JNT,F5
AME,KPH,F5
AME,KUK,F4
AME,MET,F5
AME,MSP,F3
AME,MYP,F6
AME,NAG,F7
AME,NGR,F6
AME,PAR,F3
AME,PRG,F4
AME,PRN,F2
AME,ROP,F3
AME,SEC,F4
AME,SOI,F7
AME,SRN,F1
AME,TAR,F6
AME,UPL,F7
BEG,AME,F1
BEG,BEG,F1
BEG,BLR,F4
BEG,BTN,F3
BEG,ERA,F3
BEG,ESI,F2
BEG,HSG,F6
BEG,JNT,F6
BEG,KPH,F5
BEG,KUK,F5
BEG,MET,F5
BEG,MSP,F4
BEG,MYP,F6
BEG,NAG,F7
BEG,NGR,F6
BEG,PAR,F2
BEG,PRG,F3
BEG,PRN,F1
BEG,ROP,F2
BEG,SEC,F4
BEG,SOI,F6
BEG,SRN,F2
BEG,TAR,F5
BEG,UPL,F7
BLR,AME,F3
BLR,BEG,F4
BLR,BLR,F1
BLR,BTN,F1
BLR,ERA,F2
BLR,ESI,F2
BLR,HSG,F7
BLR,JNT,F3
BLR,KPH,F2
BLR,KUK,F1
BLR,MET,F7
BLR,MSP,F1
BLR,MYP,F4
BLR,NAG,F8
BLR,NGR,F8
BLR,PAR,F6
BLR,PRG,F6
BLR,PRN,F5
BLR,ROP,F5
BLR,SEC,F6
BLR,SOI,F8
BLR,SRN,F3
BLR,TAR,F7
BLR,UPL,F8
BTN,AME,F2
BTN,BEG,F3
BTN,BLR,F1
BTN,BTN,F1
BTN,ERA,F1
BTN,ESI,F2
BTN,HSG,F7
BTN,JNT,F4
BTN,KPH,F3
BTN,KUK,F2
BTN,MET,F6
BTN,MSP,F1
BTN,MYP,F4
BTN,NAG,F8
BTN,NGR,F7
BTN,PAR,F5
BTN,PRG,F5
BTN,PRN,F4
BTN,ROP,F4
BTN,SEC,F6
BTN,SOI,F8
BTN,SRN,F2
BTN,TAR,F7
BTN,UPL,F8
ERA,AME,F2
ERA,BEG,F3
ERA,BLR,F2
ERA,BTN,F1
ERA,ERA,F1
ERA,ESI,F1
ERA,HSG,F7
ERA,JNT,F4
ERA,KPH,F3
ERA,KUK,F2
ERA,MET,F6
ERA,MSP,F1
ERA,MYP,F5
ERA,NAG,F8
ERA,NGR,F7
