shape_id,shape_pt_lon,shape_pt_sequence,shape_pt_lat,shape_dist_traveled
RED_0,78.4446642,1,17.435449,0.0
RED_0,78.4443917,2,17.4359366,0.06
RED_0,78.4441152,3,17.4363782,0.12
RED_0,78.4439097,4,17.4367474,0.17
RED_0,78.4436425,5,17.4373226,0.24
RED_0,78.4431536,6,17.4383904,0.37
RED_0,78.4426919,7,17.4395385,0.51
RED_0,78.4424235,8,17.4400728,0.58
RED_0,78.4421819,9,17.4406481,0.65
RED_0,78.440746,10,17.4431319,0.97
RED_0,78.4402897,11,17.4440504,1.08
RED_0,78.4401662,12,17.4442665,1.11
RED_0,78.4399019,13,17.4446152,1.16
RED_0,78.4396672,14,17.4449612,1.21
RED_0,78.4388235,15,17.4464429,1.4
RED_0,78.4383869,16,17.4471862,1.49
RED_0,78.4379772,17,17.4479245,1.58
RED_0,78.4375609,18,17.4486676,1.67
RED_0,78.4372989,19,17.4492022,1.74
RED_0,78.4370891,20,17.4497534,1.81
RED_0,78.4369971,21,17.4499829,1.84
RED_0,78.4369154,22,17.4501329,1.86
RED_0,78.4366464,23,17.4506092,1.92
RED_0,78.4363987,24,17.4510956,1.98
RED_0,78.436134,25,17.4516296,2.05
RED_0,78.4358707,26,17.4521584,2.12
RED_0,78.4355831,27,17.4526932,2.19
RED_0,78.4352982,28,17.4532318,2.26
RED_0,78.4350609,29,17.4536439,2.31
RED_0,78.4348531,30,17.4540738,2.36
RED_0,78.4347692,31,17.4542508,2.38
RED_0,78.4344792,32,17.4548994,2.46
RED_0,78.4343383,33,17.4552212,2.5
RED_0,78.4341987,34,17.4555455,2.54
RED_0,78.4338644,35,17.4562832,2.63
RED_0,78.4335126,36,17.4570234,2.72
RED_0,78.4332228,37,17.4576918,2.8
RED_0,78.4330019,38,17.4581935,2.86
RED_0,78.432708,39,17.4587369,2.93
RED_0,78.4323108,40,17.4592913,3.0
RED_0,78.4321337,41,17.4595761,3.04
RED_0,78.4319579,42,17.4598648,3.08
RED_0,78.4318392,43,17.4600722,3.11
RED_0,78.4317339,44,17.4602975,3.14
RED_0,78.4311282,45,17.4615956,3.3
RED_0,78.430816,46,17.4622459,3.38
RED_0,78.4305092,47,17.4628911,3.46
RED_0,78.429566,48,17.4650059,3.72
RED_0,78.429339,49,17.4655142,3.78
RED_0,78.4292364,50,17.4657647,3.81
RED_0,78.4291247,51,17.4661548,3.85
RED_0,78.4290367,52,17.4666031,3.9
RED_0,78.4289954,53,17.4667787,3.92
RED_0,78.428934,54,17.4670016,3.95
RED_0,78.428838,55,17.4672729,3.98
RED_0,78.4286638,56,17.4676406,4.02
RED_0,78.4283666,57,17.4682908,4.1
RED_0,78.4280534,58,17.4689474,4.18
RED_0,78.4278373,59,17.4693186,4.23
RED_0,78.4275267,60,17.4697562,4.29
RED_0,78.4272174,61,17.4701797,4.35
RED_0,78.4266328,62,17.4710239,4.46
RED_0,78.4263003,63,17.4714908,4.52
RED_0,78.4255511,64,17.4725668,4.66
RED_0,78.42376,65,17.4752009,5.01
RED_0,78.4234361,66,17.4756423,5.07
RED_0,78.4232269,67,17.4758576,5.1
RED_0,78.4229854,68,17.476083,5.14
RED_0,78.4224757,69,17.4764154,5.21
RED_0,78.4213666,70,17.4771353,5.35
RED_0,78.4211542,71,17.477296,5.38
RED_0,78.4209115,72,17.4774679,5.41
RED_0,78.4191996,73,17.4786958,5.64
RED_0,78.4184019,74,17.4792939,5.75
RED_0,78.4177665,75,17.4798761,5.84
RED_0,78.4171694,76,17.4804365,5.93
RED_0,78.4166509,77,17.4809917,6.01
RED_0,78.4161069,78,17.4815315,6.09
RED_0,78.4158666,79,17.4817278,6.12
RED_0,78.415586,80,17.4819189,6.16
RED_0,78.4143126,81,17.4826536,6.32
RED_0,78.4136759,82,17.4830351,6.4
RED_0,78.4133481,83,17.4832194,6.44
RED_0,78.4130526,84,17.4834114,6.48
RED_0,78.4127224,85,17.4836834,6.53
RED_0,78.4124459,86,17.4839426,6.57
RED_0,78.411956,87,17.4845585,6.66
RED_0,78.4111939,88,17.4856105,6.8
RED_0,78.4105665,89,17.4865168,6.92
RED_0,78.4102742,90,17.4869866,6.98
RED_0,78.4099698,91,17.4874423,7.04
RED_0,78.4095558,92,17.4880615,7.12
RED_0,78.4085572,93,17.4893435,7.3
RED_0,78.4080417,94,17.489973,7.39
RED_0,78.4075303,95,17.4906025,7.48
RED_0,78.4071437,96,17.4910706,7.55
RED_0,78.4069906,97,17.491215,7.57
