shape_id,shape_pt_sequence,shape_dist_traveled,shape_pt_lon,shape_pt_lat
RED_0,1,0.0,78.4446642,17.435449
RED_0,2,0.06,78.4443917,17.4359366
RED_0,3,0.12,78.4441152,17.4363782
RED_0,4,0.17,78.4439097,17.4367474
RED_0,5,0.24,78.4436425,17.4373226
RED_0,6,0.37,78.4431536,17.4383904
RED_0,7,0.51,78.4426919,17.4395385
RED_0,8,0.58,78.4424235,17.4400728
RED_0,9,0.65,78.4421819,17.4406481
RED_0,10,0.97,78.440746,17.4431319
RED_0,11,1.08,78.4402897,17.4440504
RED_0,12,1.11,78.4401662,17.4442665
RED_0,13,1.16,78.4399019,17.4446152
RED_0,14,1.21,78.4396672,17.4449612
RED_0,15,1.4,78.4388235,17.4464429
RED_0,16,1.49,78.4383869,17.4471862
RED_0,17,1.58,78.4379772,17.4479245
RED_0,18,1.67,78.4375609,17.4486676
RED_0,19,1.74,78.4372989,17.4492022
RED_0,20,1.81,78.4370891,17.4497534
RED_0,21,1.84,78.4369971,17.4499829
RED_0,22,1.86,78.4369154,17.4501329
RED_0,23,1.92,78.4366464,17.4506092
RED_0,24,1.98,78.4363987,17.4510956
RED_0,25,2.05,78.436134,17.4516296
RED_0,26,2.12,78.4358707,17.4521584
RED_0,27,2.19,78.4355831,17.4526932
RED_0,28,2.26,78.4352982,17.4532318
RED_0,29,2.31,78.4350609,17.4536439
RED_0,30,2.36,78.4348531,17.4540738
RED_0,31,2.38,78.4347692,17.4542508
RED_0,32,2.46,78.4344792,17.4548994
RED_0,33,2.5,78.4343383,17.4552212
RED_0,34,2.54,78.4341987,17.4555455
RED_0,35,2.63,78.4338644,17.4562832
RED_0,36,2.72,78.4335126,17.4570234
RED_0,37,2.8,78.4332228,17.4576918
RED_0,38,2.86,78.4330019,17.4581935
RED_0,39,2.93,78.432708,17.4587369
RED_0,40,3.0,78.4323108,17.4592913
RED_0,41,3.04,78.4321337,17.4595761
RED_0,42,3.08,78.4319579,17.4598648
RED_0,43,3.11,78.4318392,17.4600722
RED_0,44,3.14,78.4317339,17.4602975
RED_0,45,3.3,78.4311282,17.4615956
RED_0,46,3.38,78.430816,17.4622459
RED_0,47,3.46,78.4305092,17.4628911
RED_0,48,3.72,78.429566,17.4650059
