"Sr.","Direction","Stop Name Marathi","stop_name","stop_id","stop_lat","stop_lon","zone_id"
1,"UP",509,509,"A509Y1",18.574521,73.899507,"A509Y1"
2,"Down",509,509,"A509Y2",18.57458,73.899595,"A509Y2"
3,"UP","12  वा मैल","12 Wa Mile","12WML1",18.608913,74.01542,"12WML1"
4,"Down","12  वा मैल","12 Wa Mile","12WML2",18.608913,74.01542,"12WML2"
5,"UP","१५ ऑगस्ट चौक","15 August Chowk","15AUG1",18.522448,73.866454,"15AUG1"
6,"Down","१५ ऑगस्ट चौक","15 August Chowk","15AUG2",18.52284,73.867736,"15AUG2"
7,"UP","१५ नंबर","15 Number","15NUM1",18.499018,73.951441,"15NUM1"
8,"Down","१५ नंबर","15 Number","15NUM2",18.499017,73.951774,"15NUM2"
9,"UP","१६ नंबर","16 Number","16NUM1",18.607644,73.771889,"16NUM1"
10,"Down","१६ नंबर","16 Number","16NUM2",18.607839,73.772062,"16NUM2"
11,"UP","५ वा मैल","5 Wa Mile","5WMIL1",18.562325,73.923267,"5WMIL1"
12,"Down","५ वा मैल","5 Wa Mile","5WMIL2",18.562317,73.923617,"5WMIL2"
13,"UP","आपले घर","Aaple Ghar","APLGH1",18.567656,73.947832,"APLGH1"
14,"Down","आपले घर","Aaple Ghar","APLGH2",18.567483,73.948111,"APLGH2"
15,"UP","एडी कॅम्प चौक","AD Camp Chowk","ADCMP1",18.512562,73.868686,"ADCMP1"
16,"Down","एडी कॅम्प चौक","AD Camp Chowk","ADCMP2",18.512571,73.868829,"ADCMP2"
17,"UP","अग्नीशामक केंद्र लांडेवाडी ","Agnishamak Kendra Landewadi","AKLND1",18.620321,73.846448,"AKLND1"
18,"UP","आग्रवाल कॉलनी","Agrawal Colony","AGRCL1",18.500043,73.943986,"AGRCL1"
19,"Down","आग्रवाल कॉलनी","Agrawal Colony","AGRCL2",18.50004,73.94444,"AGRCL2"
20,"UP","अहिल्या सोसायटी","Ahilya Society","AHLSC1",18.552314,73.875744,"AHLSC1"
21,"Down","अहिल्या सोसायटी","Ahilya Society","AHLSC2",18.552769,73.878503,"AHLSC2"
22,"UP","अहिरेश्वरवाडी","Ahireshwarwadi","AHRWD1",18.496569,73.861539,"AHRWD1"
23,"Down","अहिरेश्वरवाडी","Ahireshwarwadi","AHRWD2",18.496547,73.861411,"AHRWD2"
24,"UP","एआयटी कॉलेज","AIT College","AITCL1",18.606663,73.873347,"AITCL1"
25,"Down","एआयटी कॉलेज","AIT College","AITCL2",18.6071,73.87343,"AITCL2"
26,"UP","अजंठानगर","Ajanthanagar","AJTNG1",18.662623,73.789685,"AJTNG1"
27,"Down","अजंठानगर","Ajanthanagar","AJTNG2",18.662519,73.790054,"AJTNG2"
28,"UP","आकाशवाणी","Akashwani","AKSHW1",18.499505,73.947994,"AKSHW1"
29,"Down","आकाशवाणी","Akashwani","AKSHW2",18.499649,73.9481,"AKSHW2"
30,"UP","आकुर्डी चौक","Akurdi Chowk","AKRDC1",18.649557,73.78219,"AKRDC1"
