shape_id,shape_pt_sequence,shape_pt_lat,shape_pt_lon,shape_dist_traveled
RED_0,1,17.435449,78.4446642,0.0
RED_0,2,17.4359366,78.4443917,0.06
RED_0,3,17.4363782,78.4441152,0.12
RED_0,4,17.4367474,78.4439097,0.17
RED_0,5,17.4373226,78.4436425,0.24
RED_0,6,17.4383904,78.4431536,0.37
RED_0,7,17.4395385,78.4426919,0.51
RED_0,8,17.4400728,78.4424235,0.58
RED_0,9,17.4406481,78.4421819,0.65
RED_0,10,17.4431319,78.440746,0.97
RED_0,11,17.4440504,78.4402897,1.08
RED_0,12,17.4442665,78.4401662,1.11
RED_0,13,17.4446152,78.4399019,1.16
RED_0,14,17.4449612,78.4396672,1.21
RED_0,15,17.4464429,78.4388235,1.4
RED_0,16,17.4471862,78.4383869,1.49
RED_0,17,17.4479245,78.4379772,1.58
RED_0,18,17.4486676,78.4375609,1.67
RED_0,19,17.4492022,78.4372989,1.74
RED_0,20,17.4497534,78.4370891,1.81
RED_0,21,17.4499829,78.4369971,1.84
RED_0,22,17.4501329,78.4369154,1.86
RED_0,23,17.4506092,78.4366464,1.92
RED_0,24,17.4510956,78.4363987,1.98
RED_0,25,17.4516296,78.436134,2.05
RED_0,26,17.4521584,78.4358707,2.12
RED_0,27,17.4526932,78.4355831,2.19
RED_0,28,17.4532318,78.4352982,2.26
RED_0,29,17.4536439,78.4350609,2.31
RED_0,30,17.4540738,78.4348531,2.36
RED_0,31,17.4542508,78.4347692,2.38
RED_0,32,17.4548994,78.4344792,2.46
RED_0,33,17.4552212,78.4343383,2.5
RED_0,34,17.4555455,78.4341987,2.54
RED_0,35,17.4562832,78.4338644,2.63
RED_0,36,17.4570234,78.4335126,2.72
RED_0,37,17.4576918,78.4332228,2.8
RED_0,38,17.4581935,78.4330019,2.86
RED_0,39,17.4587369,78.432708,2.93
RED_0,40,17.4592913,78.4323108,3.0
RED_0,41,17.4595761,78.4321337,3.04
RED_0,42,17.4598648,78.4319579,3.08
RED_0,43,17.4600722,78.4318392,3.11
RED_0,44,17.4602975,78.4317339,3.14
RED_0,45,17.4615956,78.4311282,3.3
RED_0,46,17.4622459,78.430816,3.38
RED_0,47,17.4628911,78.4305092,3.46
RED_0,48,17.4650059,78.429566,3.72
RED_0,49,17.4655142,78.429339,3.78
RED_0,50,17.4657647,78.4292364,3.81
RED_0,51,17.4661548,78.4291247,3.85
RED_0,52,17.4666031,78.4290367,3.9
RED_0,53,17.4667787,78.4289954,3.92
RED_0,54,17.4670016,78.428934,3.95
RED_0,55,17.4672729,78.428838,3.98
RED_0,56,17.4676406,78.4286638,4.02
RED_0,57,17.4682908,78.4283666,4.1
RED_0,58,17.4689474,78.4280534,4.18
RED_0,59,17.4693186,78.4278373,4.23
RED_0,60,17.4697562,78.4275267,4.29
RED_0,61,17.4701797,78.4272174,4.35
RED_0,62,17.4710239,78.4266328,4.46
RED_0,63,17.4714908,78.4263003,4.52
RED_0,64,17.4725668,78.4255511,4.66
RED_0,65,17.4752009,78.42376,5.01
RED_0,66,17.4756423,78.4234361,5.07
RED_0,67,17.4758576,78.4232269,5.1
RED_0,68,17.476083,78.4229854,5.14
RED_0,69,17.4764154,78.4224757,5.21
RED_0,70,17.4771353,78.4213666,5.35
RED_0,71,17.477296,78.4211542,5.38
RED_0,72,17.4774679,78.4209115,5.41
RED_0,73,17.4786958,78.4191996,5.64
RED_0,74,17.4792939,78.4184019,5.75
RED_0,75,17.4798761,78.4177665,5.84
RED_0,76,17.4804365,78.4171694,5.93
RED_0,77,17.4809917,78.4166509,6.01
RED_0,78,17.4815315,78.4161069,6.09
RED_0,79,17.4817278,78.4158666,6.12
RED_0,80,17.4819189,78.415586,6.16
RED_0,81,17.4826536,78.4143126,6.32
RED_0,82,17.4830351,78.4136759,6.4
RED_0,83,17.4832194,78.4133481,6.44
RED_0,84,17.4834114,78.4130526,6.48
RED_0,85,17.4836834,78.4127224,6.53
RED_0,86,17.4839426,78.4124459,6.57
RED_0,87,17.4845585,78.411956,6.66
RED_0,88,17.4856105,78.4111939,6.8
RED_0,89,17.4865168,78.4105665,6.92
RED_0,90,17.4869866,78.4102742,6.98
RED_0,91,17.4874423,78.4099698,7.04
RED_0,92,17.4880615,78.4095558,7.12
RED_0,93,17.4893435,78.4085572,7.3
RED_0,94,17.489973,78.4080417,7.39
RED_0,95,17.4906025,78.4075303,7.48
RED_0,96,17.4910706,78.4071437,7.55
RED_0,97,17.491215,78.4069906,7.57
RED_0,98,17.4913391,78.4068322,7.59
RED_0,99,17.4916111,78.4063673,7.65
RED_0,100,17.4921373,78.4052203,7.79
RED_0,101,17.492689,78.4040879,7.92
RED_0,102,17.4934907,78.4023638,8.12
RED_0,103,17.4940442,78.4011171,8.27
RED_0,104,17.4946137,78.3998657,8.42
RED_0,105,17.4952011,78.3986143,8.57
RED_0,106,17.4957949,78.39729,8.73
RED_0,107,17.4966189,78.394226,9.07
RED_0,108,17.4967739,78.39379,9.12
RED_0,109,17.4969989,78.393354,9.17
RED_0,110,17.4979919,78.39189,9.36
RED_0,111,17.4981459,78.391573,9.4
RED_0,112,17.4982169,78.391399,9.42
RED_0,113,17.4982729,78.391222,9.44
RED_0,114,17.4983819,78.390789,9.49
RED_0,115,17.4986479,78.38883,9.7
RED_0,116,17.4992829,78.384088,10.21
RED_0,117,17.4994339,78.38295,10.33
RED_0,118,17.4994479,78.382787,10.35
RED_0,119,17.4994259,78.382398,10.39
RED_0,120,17.4993439,78.38191,10.44
RED_0,121,17.4988829,78.380592,10.59
RED_0,122,17.4977109,78.378221,10.87
RED_0,123,17.4972409,78.37709,11.0
RED_0,124,17.4968959,78.375391,11.18
RED_0,125,17.4967139,78.374809,11.24
RED_0,126,17.4965909,78.374322,11.29
RED_0,127,17.4965349,78.373836,11.34
RED_0,128,17.4965399,78.373026,11.43
RED_1,1,17.4965399,78.373026,0.0
RED_1,2,17.4965349,78.373836,0.09
RED_1,3,17.4965909,78.374322,0.14
RED_1,4,17.4967139,78.374809,0.19
RED_1,5,17.4968959,78.375391,0.25
