sr,English,Telegu,Urdu,Hindi
1,Miyapur,మియాపూర్ ,میااپور,मियापुर
2,JNTU College,జె.ఎన్.టి.యు కాలేజ్,جی این ٹی.یو.,जे.एन.टि.यु कॉलेज
3,KPHB Colony,కె.పి.హెచ్.బి కాలనీ,,के.पि.एच.बि कॉलोनी
4,Kukatpally,కూకట్ పల్లి ,,कूकटपल्ली
5,Dr. B. R. Ambedkar Balanagar,డా. బి. ఆర్. అంబేద్కర్ బాలానగర్,بالانگر,डॉ. बी. आर. अंबेडकर बालानगर
6,Moosapet,మూసాపేట్ ,,मूसापेट
7,Bharath Nagar,భరత్ నగర్,بھارتھ نگر,भारत नगर
8,Erragadda,ఎర్రగడ్డ ,ارگداڈا,एरागड्डा
9,ESI Hospital,ఇ. ఎస్. ఐ. హోస్పిటల్ ,ای. ایس.,ई.एस.आई अस्पताल
10,S R Nagar,ఎస్.ఆర్. నగర్,ایس آرنگر,एस. आर. नगर
11,Ameerpet,అమీర్ పేట్ ,امیرچیٹ,अमीरपेट
12,Begumpet,బేగంపేట్,,बेगमपेट
13,Prakash Nagar,ప్రకాశ్ నగర్ ,پراشک نگر,प्रकाशनगर
14,Rasoolpura,రసూల్ పుర ,,रसूलपुरा
15,Paradise,ప్యారడైజ్,جنت,पैरेडाइस
16,Parade Grounds,పరేడ్ గ్రౌండ్,پریڈ میدان,परेड़ ग्राउण्ड
17,Secunderabad (E),సికింద్రాబాద్ ఈస్ట్,سکندرآباد (ای),सिकन्दराबाद ईस्ट
18,Mettuguda,మెట్టుగూడ,,मेट्टुगूडा 
19,Tarnaka,తార్నాక ,ترنکا,तार्नाका
20,Habsiguda,హబ్సిగూడ ,حبسگدا,हब्सिगुडा
21,NGRI,ఎన్ జి ఆర్ ఐ ,این جی آر. آئی.,एन. जी. आर. आई
22,Stadium,స్టేడియం,اسٹیڈیم,स्टेडियम
23,Uppal,ఉప్పల్ ,اپپال,उप्पल
24,Nagole,నాగోల్ ,ناگول,नागोल
