sr,shape_id,shape_pt_lat,shape_pt_lon,shape_dist_traveled,shape_pt_sequence
0,c1_1,1.19292,-77.30652,0.0,1
1,c1_1,1.19298,-77.30655,0.01,2
2,c1_1,1.19331,-77.30666,0.05,3
3,c1_1,1.19336,-77.30668,0.06,4
4,c1_1,1.19343,-77.30671,0.07,5
5,c1_1,1.19359,-77.30675,0.09,6
6,c1_1,1.19364,-77.30675,0.1,7
7,c1_1,1.19371,-77.3067,0.11,8
8,c1_1,1.19377,-77.30653,0.13,9
9,c1_1,1.19388,-77.30626,0.16,10
10,c1_1,1.19386,-77.3062,0.17,11
11,c1_1,1.19384,-77.30615,0.18,12
12,c1_1,1.19363,-77.30609,0.2,13
13,c1_1,1.19321,-77.30597,0.25,14
14,c1_1,1.19312,-77.30599,0.26,15
15,c1_1,1.19309,-77.30593,0.27,16
16,c1_1,1.1928,-77.30583,0.3,17
17,c1_1,1.19272,-77.30584,0.31,18
18,c1_1,1.19276,-77.30578,0.32,19
19,c1_1,1.19281,-77.30564,0.34,20
20,c1_1,1.19291,-77.30542,0.37,21
21,c1_1,1.19303,-77.30515,0.4,22
22,c1_1,1.19321,-77.3047,0.45,23
23,c1_1,1.19344,-77.30415,0.52,24
24,c1_1,1.19356,-77.30387,0.55,25
25,c1_1,1.19364,-77.30369,0.57,26
26,c1_1,1.19367,-77.30361,0.58,27
27,c1_1,1.19369,-77.30368,0.59,28
28,c1_1,1.19378,-77.30372,0.6,29
29,c1_1,1.19394,-77.30379,0.62,30
30,c1_1,1.19408,-77.30387,0.64,31
31,c1_1,1.19426,-77.30397,0.66,32
32,c1_1,1.19441,-77.30405,0.68,33
33,c1_1,1.19462,-77.30418,0.71,34
34,c1_1,1.19481,-77.3043,0.73,35
35,c1_1,1.19499,-77.3044,0.75,36
36,c1_1,1.19516,-77.30451,0.77,37
37,c1_1,1.19529,-77.3046,0.79,38
38,c1_1,1.19545,-77.30471,0.81,39
39,c1_1,1.19551,-77.30469,0.82,40
40,c1_1,1.19553,-77.30475,0.83,41
41,c1_1,1.19558,-77.30477,0.84,42
42,c1_1,1.19562,-77.30477,0.84,43
43,c1_1,1.19564,-77.30473,0.84,44
44,c1_1,1.1957,-77.30479,0.85,45
45,c1_1,1.19588,-77.30483,0.87,46
46,c1_1,1.19592,-77.3048,0.88,47
47,c1_1,1.19596,-77.30486,0.89,48
48,c1_1,1.19603,-77.30489,0.9,49
49,c1_1,1.19607,-77.30487,0.9,50
50,c1_1,1.19611,-77.30494,0.91,51
51,c1_1,1.19616,-77.30497,0.92,52
52,c1_1,1.19629,-77.30505,0.94,53
53,c1_1,1.19641,-77.30512,0.96,54
54,c1_1,1.19652,-77.30519,0.97,55
55,c1_1,1.19677,-77.30533,1.0,56
56,c1_1,1.19684,-77.30533,1.01,57
57,c1_1,1.19694,-77.30534,1.02,58
58,c1_1,1.19698,-77.30532,1.02,59
59,c1_1,1.19708,-77.3053,1.03,60
60,c1_1,1.19721,-77.30528,1.04,61
61,c1_1,1.19733,-77.30527,1.05,62
62,c1_1,1.19751,-77.30525,1.07,63
63,c1_1,1.19787,-77.30522,1.11,64
64,c1_1,1.198,-77.30521,1.12,65
65,c1_1,1.1981,-77.30521,1.13,66
66,c1_1,1.19814,-77.30523,1.13,67
67,c1_1,1.19817,-77.30527,1.14,68
68,c1_1,1.19816,-77.30532,1.15,69
69,c1_1,1.19813,-77.30535,1.15,70
70,c1_1,1.19808,-77.30538,1.16,71
71,c1_1,1.19798,-77.30544,1.17,72
72,c1_1,1.19789,-77.3055,1.18,73
73,c1_1,1.1978,-77.30555,1.19,74
74,c1_1,1.19774,-77.3056,1.2,75
75,c1_1,1.19771,-77.30567,1.21,76
76,c1_1,1.19769,-77.30574,1.22,77
77,c1_1,1.1977,-77.30582,1.23,78
78,c1_1,1.19774,-77.30589,1.24,79
79,c1_1,1.19779,-77.30592,1.25,80
80,c1_1,1.19788,-77.30596,1.26,81
81,c1_1,1.19795,-77.30597,1.27,82
82,c1_1,1.19801,-77.30597,1.28,83
83,c1_1,1.19806,-77.30596,1.29,84
84,c1_1,1.19812,-77.30594,1.3,85
85,c1_1,1.1982,-77.3059,1.31,86
86,c1_1,1.1983,-77.30585,1.32,87
87,c1_1,1.19837,-77.3058,1.33,88
88,c1_1,1.19847,-77.30573,1.34,89
89,c1_1,1.19856,-77.30566,1.35,90
90,c1_1,1.19858,-77.30559,1.36,91
91,c1_1,1.19861,-77.30563,1.37,92
92,c1_1,1.19865,-77.30565,1.37,93
93,c1_1,1.19869,-77.30563,1.37,94
94,c1_1,1.19873,-77.30565,1.37,95
95,c1_1,1.1988,-77.30568,1.38,96
96,c1_1,1.1989,-77.30573,1.39,97
97,c1_1,1.19901,-77.30579,1.4,98
98,c1_1,1.19918,-77.30588,1.42,99
99,c1_1,1.19924,-77.3059,1.43,100
100,c1_1,1.19922,-77.30595,1.44,101
101,c1_1,1.19924,-77.306,1.45,102
102,c1_1,1.19925,-77.30603,1.45,103
103,c1_1,1.19927,-77.30612,1.46,104
104,c1_1,1.19929,-77.30622,1.47,105
105,c1_1,1.19933,-77.30631,1.48,106
106,c1_1,1.19934,-77.30632,1.48,107
107,c1_1,1.19938,-77.30638,1.49,108
108,c1_1,1.19944,-77.30641,1.5,109
109,c1_1,1.19948,-77.30642,1.5,110
110,c1_1,1.19953,-77.30641,1.51,111
111,c1_1,1.19956,-77.30639,1.51,112
112,c1_1,1.19957,-77.30633,1.52,113
113,c1_1,1.19965,-77.30628,1.53,114
114,c1_1,1.19967,-77.30624,1.53,115
115,c1_1,1.19975,-77.30586,1.57,116
116,c1_1,1.19979,-77.30564,1.59,117
117,c1_1,1.19982,-77.30559,1.6,118
118,c1_1,1.19985,-77.30556,1.6,119
119,c1_1,1.19991,-77.30551,1.61,120
120,c1_1,1.19995,-77.30548,1.62,121
121,c1_1,1.20008,-77.30538,1.64,122
122,c1_1,1.20009,-77.30531,1.65,123
123,c1_1,1.20019,-77.30531,1.66,124
124,c1_1,1.20025,-77.30526,1.67,125
125,c1_1,1.20039,-77.30509,1.69,126
126,c1_1,1.20054,-77.3049,1.72,127
127,c1_1,1.20076,-77.30459,1.76,128
128,c1_1,1.20102,-77.30423,1.81,129
129,c1_1,1.20139,-77.30371,1.88,130
130,c1_1,1.20151,-77.30355,1.9,131
131,c1_1,1.20162,-77.3034,1.92,132
132,c1_1,1.20175,-77.30317,1.95,133
133,c1_1,1.20179,-77.30297,1.97,134
134,c1_1,1.20179,-77.30279,1.99,135
135,c1_1,1.20178,-77.30265,2.01,136
136,c1_1,1.20173,-77.30253,2.02,137
137,c1_1,1.20162,-77.30237,2.04,138
138,c1_1,1.20154,-77.30225,2.06,139
139,c1_1,1.20149,-77.30215,2.07,140
140,c1_1,1.20145,-77.30208,2.08,141
141,c1_1,1.20142,-77.30188,2.1,142
142,c1_1,1.20138,-77.30151,2.14,143
143,c1_1,1.20141,-77.30136,2.16,144
144,c1_1,1.20148,-77.30119,2.18,145
145,c1_1,1.20153,-77.30105,2.2,146
146,c1_1,1.20171,-77.30056,2.26,147
147,c1_1,1.2018,-77.30037,2.28,148
148,c1_1,1.20186,-77.30029,2.29,149
149,c1_1,1.20219,-77.29967,2.37,150
150,c1_1,1.20249,-77.29917,2.43,151
151,c1_1,1.20264,-77.29892,2.46,152
152,c1_1,1.20275,-77.29876,2.48,153
153,c1_1,1.20284,-77.29864,2.5,154
154,c1_1,1.20298,-77.29848,2.52,155
155,c1_1,1.20305,-77.29841,2.53,156
156,c1_1,1.20303,-77.29834,2.54,157
157,c1_1,1.20301,-77.29827,2.55,158
158,c1_1,1.20291,-77.29819,2.56,159
159,c1_1,1.2027,-77.29802,2.59,160
160,c1_1,1.2026,-77.29801,2.6,161
161,c1_1,1.20259,-77.29795,2.61,162
162,c1_1,1.20244,-77.29783,2.63,163
163,c1_1,1.20235,-77.29782,2.64,164
164,c1_1,1.20234,-77.29777,2.65,165
165,c1_1,1.20226,-77.29772,2.66,166
166,c1_1,1.20212,-77.29769,2.68,167
167,c1_1,1.20204,-77.29771,2.69,168
168,c1_1,1.20202,-77.29767,2.69,169
169,c1_1,1.20182,-77.29759,2.71,170
170,c1_1,1.20174,-77.2976,2.72,171
171,c1_1,1.20171,-77.29755,2.73,172
172,c1_1,1.20152,-77.29746,2.75,173
