route_id,service_id,direction_id,trip_id,trip_short_name,shape_id,wheelchair_accessible,origtrip
RED,WK,1,RED.WK.1.0800,08.00 Red Return,RED_1,1,5488
RED,WK,0,RED.WK.0., Red Onward,RED_0,1,5489
RED,WK,1,RED.WK.1., Red Return,RED_1,1,5490
RED,WK,0,RED.WK.0., Red Onward,RED_0,1,5491
RED,WK,1,RED.WK.1.0813,08.13 Red Return,RED_1,1,5492
RED,WK,0,RED.WK.0., Red Onward,RED_0,1,5493
RED,WK,1,RED.WK.1.0819,08.19 Red Return,RED_1,1,5494
RED,WK,0,RED.WK.0., Red Onward,RED_0,1,5495
RED,WK,1,RED.WK.1.0826,08.26 Red Return,RED_1,1,5496
RED,WK,0,RED.WK.0., Red Onward,RED_0,1,5497
RED,WK,1,RED.WK.1.0832,08.32 Red Return,RED_1,1,5498
RED,WK,0,RED.WK.0., Red Onward,RED_0,1,5499
RED,WK,1,RED.WK.1.0839,08.39 Red Return,RED_1,1,5500
RED,WK,0,RED.WK.0., Red Onward,RED_0,1,5501
RED,WK,1,RED.WK.1.0845,08.45 Red Return,RED_1,1,5502
RED,WK,0,RED.WK.0., Red Onward,RED_0,1,5503
RED,WK,1,RED.WK.1.0852,08.52 Red Return,RED_1,1,5504
RED,WK,0,RED.WK.0., Red Onward,RED_0,1,5505
RED,WK,1,RED.WK.1.0858,08.58 Red Return,RED_1,1,5506
RED,WK,0,RED.WK.0., Red Onward,RED_0,1,5507
RED,WK,1,RED.WK.1.0905,09.05 Red Return,RED_1,1,5508
RED,WK,0,RED.WK.0., Red Onward,RED_0,1,5509
RED,WK,1,RED.WK.1.0911,09.11 Red Return,RED_1,1,5510
RED,WK,0,RED.WK.0., Red Onward,RED_0,1,5511
RED,WK,1,RED.WK.1.0918,09.18 Red Return,RED_1,1,5512
RED,WK,0,RED.WK.0., Red Onward,RED_0,1,5513
RED,WK,1,RED.WK.1.0924,09.24 Red Return,RED_1,1,5514
RED,WK,0,RED.WK.0., Red Onward,RED_0,1,5515
RED,WK,1,RED.WK.1.0931,09.31 Red Return,RED_1,1,5516
RED,WK,0,RED.WK.0., Red Onward,RED_0,1,5517
RED,WK,1,RED.WK.1.0937,09.37 Red Return,RED_1,1,5518
RED,WK,0,RED.WK.0., Red Onward,RED_0,1,5519
RED,WK,1,RED.WK.1.0944,09.44 Red Return,RED_1,1,5520
RED,WK,0,RED.WK.0., Red Onward,RED_0,1,5521
RED,WK,1,RED.WK.1.0950,09.50 Red Return,RED_1,1,5522
RED,WK,0,RED.WK.0., Red Onward,RED_0,1,5523
RED,WK,1,RED.WK.1.0957,09.57 Red Return,RED_1,1,5524
RED,WK,0,RED.WK.0., Red Onward,RED_0,1,5525
RED,WK,1,RED.WK.1.1003,10.03 Red Return,RED_1,1,5526
RED,WK,0,RED.WK.0., Red Onward,RED_0,1,5527
RED,WK,1,RED.WK.1.1010,10.10 Red Return,RED_1,1,5528
RED,WK,0,RED.WK.0., Red Onward,RED_0,1,5529
RED,WK,1,RED.WK.1.1016,10.16 Red Return,RED_1,1,5530
RED,WK,0,RED.WK.0., Red Onward,RED_0,1,5531
RED,WK,1,RED.WK.1.1023,10.23 Red Return,RED_1,1,5532
RED,WK,0,RED.WK.0., Red Onward,RED_0,1,5533
RED,WK,1,RED.WK.1.1029,10.29 Red Return,RED_1,1,5534
RED,WK,0,RED.WK.0., Red Onward,RED_0,1,5535
RED,WK,1,RED.WK.1.1038,10.38 Red Return,RED_1,1,5628
RED,WK,0,RED.WK.0., Red Onward,RED_0,1,5629
RED,WK,1,RED.WK.1.1046,10.46 Red Return,RED_1,1,5630
RED,WK,0,RED.WK.0., Red Onward,RED_0,1,5631
RED,WK,1,RED.WK.1.1054,10.54 Red Return,RED_1,1,5632
RED,WK,0,RED.WK.0., Red Onward,RED_0,1,5633
RED,WK,1,RED.WK.1.1102,11.02 Red Return,RED_1,1,5634
RED,WK,0,RED.WK.0., Red Onward,RED_0,1,5635
RED,WK,1,RED.WK.1.1110,11.10 Red Return,RED_1,1,5636
RED,WK,0,RED.WK.0., Red Onward,RED_0,1,5637
RED,WK,1,RED.WK.1.1118,11.18 Red Return,RED_1,1,5638
RED,WK,0,RED.WK.0., Red Onward,RED_0,1,5639
RED,WK,1,RED.WK.1.1126,11.26 Red Return,RED_1,1,5640
RED,WK,0,RED.WK.0., Red Onward,RED_0,1,5641
RED,WK,1,RED.WK.1.1134,11.34 Red Return,RED_1,1,5642
RED,WK,0,RED.WK.0., Red Onward,RED_0,1,5643
RED,WK,1,RED.WK.1.1142,11.42 Red Return,RED_1,1,5644
RED,WK,0,RED.WK.0., Red Onward,RED_0,1,5645
