end_time,exact_times,headway_secs,start_time,trip_id
22:00:00,1,600,05:00:00,R25-CUBA001
22:11:00,1,420,05:30:00,R27-CUBA002
22:37:00,1,420,04:28:00,R27-CUBA001
18:40:00,1,420,17:10:00,R12-DOS003
08:50:00,1,420,06:50:00,R12-DOS003
20:20:00,1,420,18:05:00,R12-DOS002
13:45:00,1,420,12:00:00,R12-DOS002
08:15:00,1,420,06:15:00,R12-DOS002
20:25:00,1,420,17:40:00,R12-DOS001
13:25:00,1,420,11:40:00,R12-DOS001
08:00:00,1,420,05:30:00,R12-DOS001
20:00:00,1,420,05:00:00,R24-CUBA004
20:35:00,1,420,04:34:00,R24-CUBA003
21:25:00,1,900,04:40:00,R28-CUBA005
22:00:00,1,900,04:10:00,R28-CUBA006
22:00:00,1,420,05:00:00,T1-R
22:00:00,1,420,05:00:00,T1-I
22:00:00,1,420,05:00:00,T2-I
22:00:00,1,420,05:00:00,T2-R
22:00:00,1,420,05:00:00,T3
