trip_id,arrival_time,stop_headsign,pickup_type,drop_off_type,departure_time,stop_id,stop_sequence,shape_dist_traveled,timepoint
T1-I,05:00:00,,,,05:00:15,PER-MBUS-003,0,,
T1-I,,,,,,PER-MBUS-002,1,,
T1-I,,,,,,PER-MBUS-001,2,,
T1-I,,,,,,PER-MBUS-005,3,,
T1-I,,,,,,PER-MBUS-004,4,,
T1-I,,,,,,PER-MBUS-007,5,,
T1-I,,,,,,PER-MBUS-008,6,,
T1-I,,,,,,PER-MBUS-009,7,,
T1-I,,,,,,PER-MBUS-010,8,,
T1-I,,,,,,PER-MBUS-011,9,,
T1-I,,,,,,PER-MBUS-012,10,,
T1-I,,,,,,PER-MBUS-013,11,,
T1-I,,,,,,PER-MBUS-006,12,,
T1-I,,,,,,PER-MBUS-015,13,,
T1-I,,,,,,PER-MBUS-016,14,,
T1-I,,,,,,PER-MBUS-017,15,,
T1-I,,,,,,PER-MBUS-018,16,,
T1-I,,,,,,PER-MBUS-019,17,,
T1-I,,,,,,PER-MBUS-020,18,,
T1-I,,,,,,PER-MBUS-021,19,,
T1-I,05:40:00,,,,05:40:00,PER-MBUS-022,20,,
T2-I,05:00:00,,,,05:00:15,PER-MBUS-003,0,,
T2-I,,,,,,PER-MBUS-002,1,,
T2-I,,,,,,PER-MBUS-001,2,,
T2-I,,,,,,PER-MBUS-005,3,,
T2-I,,,,,,PER-MBUS-004,4,,
T2-I,,,,,,PER-MBUS-007,5,,
T2-I,,,,,,PER-MBUS-031,6,,
T2-I,,,,,,PER-MBUS-032,7,,
T2-I,,,,,,PER-MBUS-033,8,,
T2-I,,,,,,PER-MBUS-034,9,,
T2-I,,,,,,PER-MBUS-035,10,,
T2-I,,,,,,PER-MBUS-036,11,,
T2-I,,,,,,PER-MBUS-037,12,,
T2-I,,,,,,PER-MBUS-038,13,,
T2-I,,,,,,PER-MBUS-039,14,,
T2-I,,,,,,PER-MBUS-016,15,,
T2-I,,,,,,PER-MBUS-017,16,,
T2-I,,,,,,PER-MBUS-018,17,,
T2-I,,,,,,PER-MBUS-019,18,,
