stop_code,stop_id,stop_lat,stop_lon,stop_name,stop_timezone,wheelchair_boarding,zone_id
,PER-MBUS-PEi,4.816,-75.73632,Aeropuerto Matecañe,,,PER-MBUS-PEi
,PER-MBUS-005,4.815570559807573,-75.72672419004182,Aeropuerto,America/Bogota,,
,PER-MBUS-028,4.816279234045695,-75.70897676410728,Banderas K7 CL 36,America/Bogota,,
,PER-MBUS-004,4.815731670501777,-75.72438748703479,Batallón,America/Bogota,,
,PER-MBUS-011,4.812171340155904,-75.70763729933417,Cafetero CL 35,America/Bogota,,
,PER-MBUS-021,4.833286691850068,-75.67297190743899,CAM,America/Bogota,,
,PER-MBUS-026,4.815489321943195,-75.70235167492982,Cañarte K7 CL28,America/Bogota,,
,PER-MBUS-013,4.810460705484006,-75.70187926941331,Centenario CL 26,America/Bogota,,
,PER-MBUS-024,4.81555,-75.69471,Central K6 CL 20,America/Bogota,,
,PER-MBUS-025,4.815097867133635,-75.69883075849263,Claret K7 CL 24,America/Bogota,,
,PER-MBUS-033,4.815520467276376,-75.70898350998515,Coliseo,America/Bogota,,
,PER-MBUS-006,4.808646999975813,-75.69590466904465,Condina,America/Bogota,,
,PER-MBUS-010,4.81283,-75.71020,Consota CL 37,America/Bogota,,
,PER-MBUS-039,4.811702067860149,-75.68984755725735,Del Café,America/Bogota,,
,PER-MBUS-032,4.816002508024511,-75.71246831421219,Egoyá K8 CL 41,America/Bogota,,
,PER-MBUS-008,4.814799775212764,-75.71573246651533,El Jardin CL 43,America/Bogota,,
,PER-MBUS-001,4.813181865287772,-75.73408577195538,El Viajero,America/Bogota,,
,PER-MBUS-015,4.810734446447049,-75.68875378072843,Ferrocarril,America/Bogota,,
,PER-MBUS-012,4.81147791349929,-75.70429878293925,Francisco Pereira CL 30,America/Bogota,,
,PER-MBUS-020,4.831067811319866,-75.67688962778189,Fundadores,America/Bogota,,
,PER-MBUS-003,4.804353162617981,-75.73949494726033,Intercambiador CUBA,America/Bogota,,
,PER-MBUS-022,4.835614853589966,-75.66836168504157,Intercambiador DOSQUEBRADAS,America/Bogota,,
,PER-MBUS-017,4.822898694694001,-75.68366815218101,La Popa,America/Bogota,,
,PER-MBUS-030,4.816429123738279,-75.71588650798185,La Ruana K7 CL 34,America/Bogota,,
,PER-MBUS-036,4.814340496498407,-75.69891031839568,Lago,America/Bogota,,
,PER-MBUS-027,4.815912380582405,-75.70563935679253,Las Flores K7 CL 32,America/Bogota,,
,PER-MBUS-007,4.815985535845003,-75.72065444176751,Maraya,America/Bogota,,
,PER-MBUS-035,4.814764141691013,-75.70244170013089,Mercados K8 CL 29,America/Bogota,,
,PER-MBUS-019,4.829159999303987,-75.67957172357438,Milan,America/Bogota,,
,PER-MBUS-034,4.815233163824484,-75.70647234602998,Ormaza,America/Bogota,,
,PER-MBUS-037,4.81231,-75.69559,Otún,America/Bogota,,
,PER-MBUS-029,4.816737076282439,-75.71299946119122,Palacio de Justicia,America/Bogota,,
,PER-MBUS-014,4.809633635725024,-75.69554859629048,Parque Olaya,America/Bogota,,
,PER-MBUS-002,4.80870311685997,-75.73564540592173,San Fernando,America/Bogota,,
,PER-MBUS-018,4.826361547343985,-75.68172457490004,Santa Monica,America/Bogota,,
,PER-MBUS-031,4.816389348603663,-75.71564863927817,Turin K8 CL 44,America/Bogota,,
,PER-MBUS-009,4.813909429325063,-75.71373834516105,Ukumarí CL 41,America/Bogota,,
,PER-MBUS-023,4.814950774819681,-75.68972447482021,Viaducto K6 CL 13,America/Bogota,,
,PER-MBUS-038,4.811926036524108,-75.69232863538086,Victoria,America/Bogota,,
