stop_id,stop_name,stop_lat,stop_lon,stop_desc
ABIDS1,Abids Bus Stop,17.39324,78.47639,
ABIDS2,Abids,17.38859,78.47641,
ACCOU1,Accountant General (A & G) Office / Birla Mandir,17.40616,78.46743,
ACCOU2,Accountant General (A & G) Office / Birla Mandir,17.4063,78.46665,
ADIKM1,Adikmet,17.40667,78.51273,
AIRPO1,Airport Backside,17.45185,78.48597,
ALLWY1,Allwyn Erragadda,17.45371,78.43484,
ALLWY2,Allwyn Colony X Road,17.494,78.3499,
ALLWY3,Allwyn Colony X Road Bus Stop,17.49451,78.35235,
ALLWY4,Allwyn Colony,17.494,78.3499,
ALLWY5,Allwyn Colony,17.49381,78.34986,
ALLWY6,Allwyn Colony X Road,17.4945,78.35219,
ALLWY7,Allwyn Colony X Road,17.49432,78.35158,
ALLWY8,Allwyn Colony,17.49408,78.34989,
ALUGA1,Alugadda Baavi South,17.43552,78.51428,
ALUGA2,Alugadda Baavi South,17.43526,78.51457,
AMBED1,Ambedkar Nagar (Chinthal Basthi),17.40739,78.45108,
AMBED2,Ambedkar Nagar (Chinthal Basthi),17.40557,78.45168,
AMBED3,Ambedkar Nagar,17.5069,78.58358,"Ambedkar Nagar, Secunderabad"
AMEER1,Ameerpet Bus Stop,17.43161,78.44758,
AMEER2,Ameerpet-Maitrivanam,17.4375,78.44375,
AMEER3,Ameerpet Bus Stop,17.43178,78.44796,
AMEER4,Ameerpet Bus Stop,17.43234,78.44723,
AMEER5,Ameerpet Bus Stop,17.43179,78.44797,
AMEER6,Ameerpet,17.43458,78.44794,
AMEER7,Ameerpet,17.4347,78.44873,ameerpet towards lalbungalow
ANAND1,Anand Theater,17.44357,78.48271,
ASHIS1,Ashish Gardens,17.45742,78.47804,
ASHIS2,Ashish Gardens,17.45733,78.4784,
ASHIS3,Ashish Gardens Bus Stop,17.45742,78.47804,
ASHOK1,Ashok Nagar,17.50422,78.30862,
ASHOK2,Ashok Nagar,17.50322,78.31087,
ASSEM1,Assembly,17.4022,78.46898,
ASSEM2,Assembly Bus Stop,17.4004,78.4699,
ASSEM3,Assembly,17.39992,78.47028,assembly to words lakadikapool
BADIC1,Badi Chowdi,17.38867,78.48762,
BAGHL1,Baghlingampally,17.39645,78.49599,
BAHAD1,Bahadurpally,17.55991,78.43115,
BAHAD2,Bahadurpally X Road,17.55997,78.43098,
BALAN1,Balanagar X Roads / CITD,17.46741,78.44462,
BALAN2,Balanagar NSP X Road,17.46661,78.44676,
BALAN3,Balanagar,17.46821,78.44614,
BANJA1,Banjara Hills Road No.1 Water Tank,17.41898,78.44786,
BANKB1,Bank Bus Stop,17.54456,78.49168,
BANKS1,Bank Street,17.38543,78.48145,
BAPUG1,Bapu Ghat,17.37434,78.41786,
BAPUG2,Bapu Ghat,17.37304,78.41172,
BAPUN1,Bapunagar,17.37374,78.41709,bapu nagar
BARKA1,Barkatpura,17.39428,78.49868,
BEERA1,Beeramguda,17.51051,78.29669,
BEERA2,Beeramguda,17.50909,78.30036,
BEGUM1,Begumpet Railway Station North,17.43833,78.45687,
BEGUM2,Begumpet,17.44503,78.46563,
BEGUM3,Begumpet Police Lines,17.44367,78.47855,
BHADU1,Bhadurpally,17.56099,78.43067,
BHARA1,Bharat nagar Bus Stop,17.467,78.42879,
BHARA2,Bharath Nagar,17.46691,78.42928,
BHARA3,Bharath Nagar,17.46745,78.4288,
BHARA4,Bharat nagar Bus Stop,17.467,78.42892,
BHARA5,Bharath Nagar,17.46707,78.42906,
BHARA6,Bharat nagar,17.46707,78.42906,bharat nagar d
BHAVA1,Bhavani Nagar,17.48114,78.56403,
BHELH1,BHEL Hospital,17.49931,78.30403,
BHELP1,BHEL Pushpak,17.51209,78.29234,
BHELP2,BHEL Pushpak,17.51211,78.29301,
BODUP1,Boduppal,17.40474,78.58655,
BODUP2,Boduppal,17.40452,78.58666,
BOWEN1,Bowenpally X Road,17.46316,78.47262,
BOWEN2,Bowenpally X Road Junction,17.46379,78.47306,
BSNLO1,BSNL Office,17.48317,78.39299,
CAREH1,Care Hospital,17.41321,78.4502,
CAREH2,Care Hospital,17.41294,78.45024,
CHADE1,Chaderghat Bus Stop,17.37735,78.494,
CHADE2,Chaderghat Bus Stop,17.37712,78.49393,
CHAND1,Chandanagar Bus Stop,17.49516,78.32285,
CHAND2,Chanda Nagar Bus Stop,17.49499,78.32286,
CHAND3,Chanda Nagar,17.49491,78.32265,
CHAND4,Chandanagar,17.4952,78.32285,
CHAND5,Chandanagar,17.49499,78.32286,chanda nagar towards lingampally
CHAVE1,Chavella Road,17.37292,78.40588,
CHILA1,Chilakalaguda,17.43311,78.50685,
CHINN1,Chinna Thokata,17.45999,78.47581,
CHINN2,Chinna thokatta Request,17.46078,78.47582,
CHINN3,Chinna thokatta Request Bus Stop,17.46078,78.47582,
CHINT1,Chintal Basti Bus Stop,17.4076,78.45132,
CHINT2,Chintal Basti,17.40707,78.46069,
CHINT3,Chintal Basthi Bus Stop,17.40907,78.46042,
CHINT4,Chintal,17.49409,78.45209,
CHINT5,Chintal,17.49583,78.45216,
CHURC1,Church busstop,17.49947,78.30792,
CINEP1,Cine Planet Kompally,17.52934,78.48657,
CINEP2,Cine Planet Bus Stop,17.52917,78.48672,
CLOCK1,Clock Tower,17.44061,78.49716,
CLOCK2,Clock Tower,17.44076,78.49695,
CMRCO1,CMR College of Engineering and Technology,17.60467,78.49037,
CMRCO2,CMR College of Engineering and Technology,17.60425,78.49091,
DAIRY1,Dairy Farm (OU Campus),17.42386,78.52795,
DAIRY2,Dairy Farm,17.42423,78.52804,
DAMMA1,Dammaiguda X Roads,17.50197,78.58873,
DEEPT1,Deepthisree Bus Stop,17.49529,78.34075,
DEEPT2,Deepthisree Bus Stop,17.49526,78.34006,
DEEPT3,Deepthisree,17.49496,78.34025,
DEEPT4,Deepthisree,17.49534,78.34073,
DEEPT5,Deepthisree,17.49529,78.34075,
DILSU1,Dilsukhnagar,17.36878,78.52423,
DILSU2,Dilsukhnagar Bus Station,17.36962,78.52541,
DILSU3,Dilsukhnagar,17.36841,78.52456,
DISTR1,District Bus Stop IDPL Colony,17.48785,78.4506,
DOLLA1,Dollapally X Road / Kompally Chorwsta,17.5406,78.49086,
DOLLA2,Dollapally X Road/Kompally Chorwsta,17.54004,78.4909,
DUNDI1,Dundigal,17.59621,78.40346,
DUNDI2,Dundigal,17.59628,78.40302,
ECIL01,ECIL,17.4722,78.5693,
ECILX1,ECIL X Roads,17.47347,78.57103,
ECILX2,ECIL X Road,17.47346,78.57087,"ECIL, North Kamala Nagar, Cherlapalli, Secunderabad"
EENAD1,Eenadu,17.41569,78.45812,
ERRAG1,Erragadda FCI,17.45061,78.43645,
ERRAG10,Erragadda,17.4545,78.43444,earragadda to sanathnagar
ERRAG11,Erragadda FCI,17.45422,78.43509,
ERRAG2,Erragadda Gokul Theater,17.45224,78.43566,
ERRAG3,Erragadda Bus Stop,17.45647,78.43367,
ERRAG4,Erragadda,17.45798,78.43323,
ERRAG5,Erragadda FCI,17.45054,78.43691,
ERRAG6,Erragadda,17.45412,78.4347,
ERRAG7,Erragadda FCI,17.4506,78.43645,
ERRAG8,Erragadda Bus Stop,17.4556,78.4342,
ERRAG9,Erragadda,17.45499,78.43459,earragadda to sanathnagar
ERRAM1,Erramanzil Bus Stop,17.41926,78.45685,
ERRAM2,Erramanzil,17.42037,78.45603,
ERRAM3,Erramanzil,17.41947,78.45689,erramanzil towards khairathabad rto office
ESI001,E S I,17.44858,78.4378,
ESI002,E S I,17.4461,78.4392,
ESI003,E S I,17.44585,78.43932,
ESIBU1,E S I Bus Stop,17.44879,78.43731,
ESIBU2,E S I Bus Stop,17.44601,78.4393,
ESIBU3,E S I Bus Stop,17.44604,78.4395,
ESIBU4,E S I Bus Stop,17.44598,78.43911,
EVERR1,Everready,17.45396,78.56052,
FARMA1,Farm Area Bus Stop,17.56137,78.49287,
FEROZ1,Ferozeguda,17.46259,78.46211,
FEROZ2,Ferozeguda BHEL,17.46373,78.45899,
FEROZ3,Ferozeguda,17.4639,78.459,
FEVER1,Fever Hospital,17.39546,78.50221,"Nallakunta Main Road, AP Housing Board, Bagh Lingampally, New Nallakunta, Hyderabad"
