route_id,service_id,direction_id,trip_id
120M,ALL,0,120M_0710_0
120M,ALL,0,120M_0817_0
120M,ALL,0,120M_0909_0
120M,ALL,0,120M_1001_0
120M,ALL,0,120M_1053_0
120M,ALL,0,120M_1145_0
120M,ALL,0,120M_1252_0
120M,ALL,0,120M_1359_0
120M,ALL,0,120M_1506_0
120M,ALL,0,120M_1613_0
120M,ALL,0,120M_1720_0
120M,ALL,0,120M_1812_0
120M,ALL,0,120M_1904_0
120M,ALL,0,120M_1950_0
120M,ALL,1,120M_0822_1
120M,ALL,1,120M_0914_1
120M,ALL,1,120M_1006_1
120M,ALL,1,120M_1058_1
120M,ALL,1,120M_1150_1
120M,ALL,1,120M_1257_1
120M,ALL,1,120M_1404_1
120M,ALL,1,120M_1511_1
120M,ALL,1,120M_1618_1
120M,ALL,1,120M_1725_1
120M,ALL,1,120M_1817_1
120M,ALL,1,120M_1909_1
120M,ALL,1,120M_2001_1
120M,ALL,1,120M_2053_1
120M,ALL,1,120M_2102_1
18B,ALL,0,18B_0546_0
18B,ALL,0,18B_0646_0
18B,ALL,0,18B_0746_0
18B,ALL,0,18B_0846_0
18B,ALL,0,18B_0928_0
18B,ALL,0,18B_1010_0
18B,ALL,0,18B_1052_0
18B,ALL,0,18B_1134_0
18B,ALL,0,18B_1234_0
18B,ALL,0,18B_1334_0
18B,ALL,0,18B_1434_0
18B,ALL,0,18B_1534_0
18B,ALL,0,18B_1634_0
18B,ALL,0,18B_1734_0
18B,ALL,0,18B_1816_0
18B,ALL,0,18B_1858_0
18B,ALL,0,18B_1940_0
18B,ALL,0,18B_2022_0
18B,ALL,0,18B_2122_0
18B,ALL,0,18B_2222_0
18B,ALL,0,18B_2244_0
18B,ALL,1,18B_0635_1
18B,ALL,1,18B_0735_1
18B,ALL,1,18B_0835_1
18B,ALL,1,18B_0917_1
18B,ALL,1,18B_0959_1
18B,ALL,1,18B_1041_1
18B,ALL,1,18B_1123_1
18B,ALL,1,18B_1223_1
18B,ALL,1,18B_1323_1
18B,ALL,1,18B_1423_1
18B,ALL,1,18B_1523_1
18B,ALL,1,18B_1623_1
18B,ALL,1,18B_1723_1
18B,ALL,1,18B_1805_1
18B,ALL,1,18B_1847_1
18B,ALL,1,18B_1929_1
18B,ALL,1,18B_2011_1
18B,ALL,1,18B_2111_1
18B,ALL,1,18B_2154_1
19M,ALL,0,19M_0655_0
19M,ALL,0,19M_0710_0
19M,ALL,0,19M_0725_0
19M,ALL,0,19M_0740_0
19M,ALL,0,19M_0755_0
19M,ALL,0,19M_0810_0
19M,ALL,0,19M_0825_0
19M,ALL,0,19M_0840_0
19M,ALL,0,19M_0856_0
19M,ALL,0,19M_0911_0
19M,ALL,0,19M_0920_0
19M,ALL,0,19M_0926_0
19M,ALL,0,19M_0941_0
19M,ALL,0,19M_0956_0
19M,ALL,0,19M_1011_0
19M,ALL,0,19M_1016_0
19M,ALL,0,19M_1026_0
19M,ALL,0,19M_1041_0
19M,ALL,0,19M_1056_0
19M,ALL,0,19M_1102_0
19M,ALL,0,19M_1126_0
19M,ALL,0,19M_1137_0
19M,ALL,0,19M_1152_0
19M,ALL,0,19M_1207_0
19M,ALL,0,19M_1222_0
19M,ALL,0,19M_1228_0
19M,ALL,0,19M_1237_0
19M,ALL,0,19M_1242_0
19M,ALL,0,19M_1252_0
19M,ALL,1,19M_0803_1
19M,ALL,1,19M_0818_1
19M,ALL,1,19M_0833_1
19M,ALL,1,19M_0848_1
19M,ALL,1,19M_0903_1
19M,ALL,1,19M_0908_1
19M,ALL,1,19M_0918_1
19M,ALL,1,19M_0933_1
19M,ALL,1,19M_0948_1
19M,ALL,1,19M_0954_1
19M,ALL,1,19M_1018_1
19M,ALL,1,19M_1029_1
19M,ALL,1,19M_1044_1
19M,ALL,1,19M_1059_1
19M,ALL,1,19M_1114_1
19M,ALL,1,19M_1129_1
19M,ALL,1,19M_1134_1
19M,ALL,1,19M_1144_1
19M,ALL,1,19M_1159_1
19M,ALL,1,19M_1214_1
19M,ALL,1,19M_1220_1
218D,ALL,0,218D_0451_0
218D,ALL,0,218D_0500_0
218D,ALL,0,218D_0501_0
218D,ALL,0,218D_0528_0
218D,ALL,0,218D_0530_0
218D,ALL,0,218D_0542_0
218D,ALL,0,218D_0549_0
218D,ALL,0,218D_0555_0
218D,ALL,0,218D_0556_0
218D,ALL,0,218D_0601_0
218D,ALL,0,218D_0609_0
218D,ALL,0,218D_0612_0
218D,ALL,0,218D_0617_0
218D,ALL,0,218D_0620_0
218D,ALL,0,218D_0625_0
218D,ALL,0,218D_0630_0
218D,ALL,0,218D_0635_0
218D,ALL,0,218D_0637_0
218D,ALL,0,218D_0643_0
218D,ALL,0,218D_0644_0
218D,ALL,0,218D_0645_0
218D,ALL,0,218D_0650_0
218D,ALL,0,218D_0651_0
218D,ALL,0,218D_0655_0
218D,ALL,0,218D_0658_0
218D,ALL,0,218D_0700_0
218D,ALL,0,218D_0701_0
218D,ALL,0,218D_0705_0
218D,ALL,0,218D_0708_0
218D,ALL,0,218D_0710_0
218D,ALL,0,218D_0712_0
218D,ALL,0,218D_0715_0
218D,ALL,0,218D_0719_0
218D,ALL,0,218D_0720_0
218D,ALL,0,218D_0724_0
218D,ALL,0,218D_0725_0
218D,ALL,0,218D_0727_0
218D,ALL,0,218D_0730_0
218D,ALL,0,218D_0732_0
218D,ALL,0,218D_0733_0
218D,ALL,0,218D_0734_0
218D,ALL,0,218D_0735_0
218D,ALL,0,218D_0740_0
218D,ALL,0,218D_0745_0
218D,ALL,0,218D_0748_0
218D,ALL,0,218D_0750_0
218D,ALL,0,218D_0755_0
218D,ALL,0,218D_0758_0
218D,ALL,0,218D_0800_0
218D,ALL,0,218D_0802_0
218D,ALL,0,218D_0805_0
218D,ALL,0,218D_0810_0
218D,ALL,0,218D_0815_0
218D,ALL,0,218D_0816_0
218D,ALL,0,218D_0820_0
218D,ALL,0,218D_0824_0
218D,ALL,0,218D_0825_0
218D,ALL,0,218D_0830_0
218D,ALL,0,218D_0835_0
218D,ALL,0,218D_0840_0
218D,ALL,0,218D_0845_0
218D,ALL,0,218D_0850_0
218D,ALL,0,218D_0855_0
218D,ALL,0,218D_0900_0
218D,ALL,0,218D_0901_0
218D,ALL,0,218D_0905_0
218D,ALL,0,218D_0906_0
218D,ALL,0,218D_0910_0
218D,ALL,0,218D_0914_0
218D,ALL,0,218D_0915_0
218D,ALL,0,218D_0917_0
218D,ALL,0,218D_0920_0
218D,ALL,0,218D_0922_0
218D,ALL,0,218D_0925_0
218D,ALL,0,218D_0929_0
218D,ALL,0,218D_0930_0
218D,ALL,0,218D_0935_0
218D,ALL,0,218D_0940_0
218D,ALL,0,218D_0941_0
218D,ALL,0,218D_0942_0
218D,ALL,0,218D_0945_0
218D,ALL,0,218D_0947_0
218D,ALL,0,218D_0949_0
218D,ALL,0,218D_0950_0
218D,ALL,0,218D_0953_0
218D,ALL,0,218D_0956_0
218D,ALL,0,218D_1000_0
218D,ALL,0,218D_1001_0
218D,ALL,0,218D_1003_0
218D,ALL,0,218D_1005_0
218D,ALL,0,218D_1010_0
218D,ALL,0,218D_1011_0
218D,ALL,0,218D_1013_0
218D,ALL,0,218D_1015_0
218D,ALL,0,218D_1017_0
218D,ALL,0,218D_1024_0
218D,ALL,0,218D_1025_0
218D,ALL,0,218D_1029_0
218D,ALL,0,218D_1030_0
218D,ALL,0,218D_1032_0
218D,ALL,0,218D_1035_0
218D,ALL,0,218D_1036_0
218D,ALL,0,218D_1037_0
218D,ALL,0,218D_1040_0
218D,ALL,0,218D_1041_0
218D,ALL,0,218D_1045_0
218D,ALL,0,218D_1048_0
218D,ALL,0,218D_1050_0
218D,ALL,0,218D_1053_0
218D,ALL,0,218D_1055_0
218D,ALL,0,218D_1100_0
218D,ALL,0,218D_1103_0
218D,ALL,0,218D_1105_0
218D,ALL,0,218D_1110_0
218D,ALL,0,218D_1112_0
218D,ALL,0,218D_1115_0
218D,ALL,0,218D_1120_0
218D,ALL,0,218D_1124_0
218D,ALL,0,218D_1125_0
218D,ALL,0,218D_1128_0
218D,ALL,0,218D_1130_0
218D,ALL,0,218D_1132_0
218D,ALL,0,218D_1135_0
218D,ALL,0,218D_1136_0
218D,ALL,0,218D_1140_0
218D,ALL,0,218D_1145_0
218D,ALL,0,218D_1148_0
218D,ALL,0,218D_1150_0
218D,ALL,0,218D_1151_0
218D,ALL,0,218D_1153_0
218D,ALL,0,218D_1200_0
218D,ALL,0,218D_1205_0
218D,ALL,0,218D_1210_0
218D,ALL,0,218D_1215_0
218D,ALL,0,218D_1219_0
218D,ALL,0,218D_1220_0
218D,ALL,0,218D_1225_0
218D,ALL,0,218D_1230_0
218D,ALL,0,218D_1233_0
218D,ALL,0,218D_1235_0
218D,ALL,0,218D_1237_0
218D,ALL,0,218D_1245_0
218D,ALL,0,218D_1249_0
218D,ALL,0,218D_1250_0
218D,ALL,0,218D_1255_0
218D,ALL,0,218D_1257_0
218D,ALL,0,218D_1300_0
218D,ALL,0,218D_1301_0
218D,ALL,0,218D_1305_0
218D,ALL,0,218D_1306_0
218D,ALL,0,218D_1308_0
218D,ALL,0,218D_1310_0
218D,ALL,0,218D_1312_0
218D,ALL,0,218D_1313_0
218D,ALL,0,218D_1320_0
218D,ALL,0,218D_1322_0
218D,ALL,0,218D_1325_0
218D,ALL,0,218D_1330_0
218D,ALL,0,218D_1334_0
218D,ALL,0,218D_1345_0
218D,ALL,0,218D_1346_0
218D,ALL,0,218D_1358_0
218D,ALL,0,218D_1400_0
218D,ALL,0,218D_1410_0
218D,ALL,0,218D_1412_0
218D,ALL,0,218D_1418_0
218D,ALL,0,218D_1420_0
218D,ALL,0,218D_1422_0
218D,ALL,0,218D_1424_0
218D,ALL,0,218D_1425_0
218D,ALL,0,218D_1427_0
218D,ALL,0,218D_1430_0
