Stations,ALVA,PNCU,CPPY,ATTK,MUTT,KLMT,CCUV,PDPM,EDAP,CGPP,PARV,JLSD,KALR,LSSE,MGRD,MACE
ALVA,,F1,F2,F2,F2,F3,F3,F3,F3,F3,F4,F4,F4,F4,F5,F5
PNCU,F1,,F1,F2,F2,F2,F3,F3,F3,F3,F3,F4,F4,F4,F4,F5
CPPY,F2,F1,,F1,F2,F2,F2,F3,F3,F3,F3,F3,F4,F4,F4,F4
ATTK,F2,F1,F1,,F1,F2,F2,F2,F3,F3,F3,F3,F3,F4,F4,F4
MUTT,F2,F2,F1,F1,,F1,F2,F2,F2,F2,F3,F3,F3,F3,F4,F4
KLMT,F3,F2,F2,F2,F2,,F1,F2,F2,F2,F2,F3,F3,F3,F3,F4
CCUV,F3,F3,F3,F2,F2,F1,,F1,F2,F2,F2,F2,F3,F3,F3,F3
PDPM,F3,F3,F3,F2,F2,F2,F1,,F1,F1,F2,F2,F2,F3,F3,F3
EDAP,F4,F3,F3,F3,F3,F2,F2,F1,,F1,F1,F2,F2,F2,F3,F3
CGPP,F4,F4,F3,F3,F3,F3,F2,F2,F1,,F1,F2,F2,F2,F3,F3
PARV,F4,F4,F4,F3,F3,F3,F2,F2,F2,F1,,F1,F1,F2,F2,F3
JLSD,F4,F4,F4,F4,F3,F3,F3,F2,F2,F1,F1,,F1,F2,F2,F2
KALR,F5,F4,F4,F4,F4,F3,F3,F3,F2,F2,F2,F1,,F1,F2,F2
LSSE,F5,F4,F4,F4,F4,F3,F3,F3,F2,F2,F2,F1,F1,,F1,F2
MGRD,F5,F5,F4,F4,F4,F4,F3,F3,F3,F2,F2,F2,F1,F1,,F1
MACE,F5,F5,F5,F4,F4,F4,F3,F3,F3,F3,F2,F2,F2,F2,F1,
