distance,down_id,sr,stop_id,stop_lat,stop_lon,stop_name,stop_name_secondlang,up_id,wheelchair_boarding
0.0,,1,ALVA,10.1099,76.3495,Aluva,ആലുവ,STA_COD_3106T_UP,1
1.826,STA_PF_DN_PNCU,2,PNCU,10.0951,76.3466,Pulinchudu,പുളിഞ്ചോട്,STA_PF_UP_PNCU,1
2.795,STA_PF_DN_CPPY,3,CPPY,10.0873,76.3428,CompanyPady,കമ്പനിപ്പടി,STA_PF_UP_CPPY,1
3.779,STA_PF_DN_AATK,4,ATTK,10.0793,76.3389,Ambattukavu,അമ്പാട്ടുകാവ്,STA_PF_UP_AATK,1
4.716,STA_COD_3509T_DN,5,MUTT,10.0727,76.3336,Muttom,മുട്ടം,STA_COD_3512T_BH,1
6.768,STA_PF_DN_KLMT,6,KLMT,10.0586,76.322,Kalamassery,കളമശ്ശേരി,STA_PF_UP_KLMT,1
8.146,STA_PF_DN_CCUV,7,CCUV,10.0467,76.3182,Cusat,കൊച്ചിൻ യൂണിവേഴ്സിറ്റി,STA_PF_UP_CCUV,1
9.349,STA_COD_3805T_BH,8,PDPM,10.0361,76.3144,Pathadipalam,പത്തടിപ്പോലം,STA_PF_UP_PDPM,1
10.787,STA_PF_DN_EDAP,9,EDAP,10.0251,76.3083,Edapally Jn.,ഇടപ്പള്ളി,STA_PF_UP_EDAP,1
12.087,STA_PF_DN_CGPP,10,CGPP,10.0152,76.3023,Changampuzha Park,ചങ്ങമ്പുഴ പാർക്ക്,STA_PF_UP_CGPP,1
13.095,STA_COD_4105T_DN,11,PARV,10.0064,76.3048,Palarivattom,പാലാരിവട്ടം,STA_PF_UP_PARV,1
14.217,STA_PF_DN_JLSD,12,JLSD,10.0002,76.2989,JLN Stadium,ജെ എൽ എൻ സ്റ്റേഡിയം,STA_PF_UP_JLSD,1
15.249,STA_PF_DN_KALR,13,KALR,9.9943,76.2914,Kaloor,കലൂർ,STA_PF_UP_KALR,1
15.722,STA_PF_DN_LSSE,14,LSSE,9.9914,76.2884,Lissie Jn,ലിസ്സി,STA_PF_UP_LSSE,1
16.926,STA_PF_DN_MGRD,15,MGRD,9.9834,76.2823,MG Road,എം.ജി റോഡ്,STA_PF_UP_MGRD,1
18.102,STA_COD_4605T_DN,16,MACE,9.9732,76.2851,Maharaja College,മഹാരാജാസ് കോളേജ്,,1
