route_id,service_id,trip_id,trip_headsign,direction_id,block_id,shape_id,wheelchair_accessible
R1,WK,R1WKR055636,Maharaja College,0,04_0,R1_0,1
R1,WK,R1WKL063147,Aluva,1,04_1,R1_1,1
R1,WK,R1WKR070646,Maharaja College,0,04_0,R1_0,1
R1,WK,R1WKL074147,Aluva,1,04_1,R1_1,1
R1,WK,R1WKR082155,Maharaja College,0,04_0,R1_0,1
R1,WK,R1WKL085727,Aluva,1,04_1,R1_1,1
R1,WK,R1WKR093226,Maharaja College,0,04_0,R1_0,1
R1,WK,R1WKL100727,Aluva,1,04_1,R1_1,1
R1,WK,R1WKR104226,Maharaja College,0,04_0,R1_0,1
R1,WK,R1WKL111727,Aluva,1,04_1,R1_1,1
R1,WK,R1WKR115226,Maharaja College,0,04_0,R1_0,1
R1,WK,R1WKL122727,Aluva,1,04_1,R1_1,1
R1,WK,R1WKR130226,Maharaja College,0,04_0,R1_0,1
R1,WK,R1WKL133727,Aluva,1,04_1,R1_1,1
R1,WK,R1WKR141226,Maharaja College,0,04_0,R1_0,1
R1,WK,R1WKL144727,Aluva,1,04_1,R1_1,1
R1,WK,R1WKR152226,Maharaja College,0,04_0,R1_0,1
R1,WK,R1WKL155727,Aluva,1,04_1,R1_1,1
R1,WK,R1WKR163226,Maharaja College,0,04_0,R1_0,1
R1,WK,R1WKL170727,Aluva,1,04_1,R1_1,1
R1,WK,R1WKR174226,Maharaja College,0,04_0,R1_0,1
R1,WK,R1WKL181727,Aluva,1,04_1,R1_1,1
R1,WK,R1WKR185226,Maharaja College,0,04_0,R1_0,1
R1,WK,R1WKL192727,Aluva,1,04_1,R1_1,1
R1,WK,R1WKL055639,Aluva,1,03_1,R1_1,1
R1,WK,R1WKR063145,Maharaja College,0,03_0,R1_0,1
R1,WK,R1WKL070646,Aluva,1,03_1,R1_1,1
R1,WK,R1WKR074216,Maharaja College,0,03_0,R1_0,1
R1,WK,R1WKL081726,Aluva,1,03_1,R1_1,1
R1,WK,R1WKR085655,Maharaja College,0,03_0,R1_0,1
R1,WK,R1WKL093226,Aluva,1,03_1,R1_1,1
R1,WK,R1WKR100725,Maharaja College,0,03_0,R1_0,1
R1,WK,R1WKL104226,Aluva,1,03_1,R1_1,1
R1,WK,R1WKR111725,Maharaja College,0,03_0,R1_0,1
R1,WK,R1WKL115226,Aluva,1,03_1,R1_1,1
R1,WK,R1WKR122725,Maharaja College,0,03_0,R1_0,1
R1,WK,R1WKL130226,Aluva,1,03_1,R1_1,1
R1,WK,R1WKR133725,Maharaja College,0,03_0,R1_0,1
R1,WK,R1WKL141226,Aluva,1,03_1,R1_1,1
R1,WK,R1WKR144725,Maharaja College,0,03_0,R1_0,1
R1,WK,R1WKL152226,Aluva,1,03_1,R1_1,1
R1,WK,R1WKR155725,Maharaja College,0,03_0,R1_0,1
R1,WK,R1WKL163226,Aluva,1,03_1,R1_1,1
R1,WK,R1WKR170725,Maharaja College,0,03_0,R1_0,1
R1,WK,R1WKL174226,Aluva,1,03_1,R1_1,1
R1,WK,R1WKR181725,Maharaja College,0,03_0,R1_0,1
R1,WK,R1WKL185226,Aluva,1,03_1,R1_1,1
R1,WK,R1WKR192725,Maharaja College,0,03_0,R1_0,1
R1,WK,R1WKL200226,Aluva,1,03_1,R1_1,1
R1,WK,R1WKL053247,Aluva,1,01_1,R1_1,1
R1,WK,R1WKR061405,Maharaja College,0,01_0,R1_0,1
R1,WK,R1WKL064906,Aluva,1,01_1,R1_1,1
R1,WK,R1WKR072016,Maharaja College,0,01_0,R1_0,1
R1,WK,R1WKL075536,Aluva,1,01_1,R1_1,1
R1,WK,R1WKR083035,Maharaja College,0,01_0,R1_0,1
R1,WK,R1WKL090601,Aluva,1,01_1,R1_1,1
R1,WK,R1WKR094100,Maharaja College,0,01_0,R1_0,1
R1,WK,R1WKL101601,Aluva,1,01_1,R1_1,1
R1,WK,R1WKR105100,Maharaja College,0,01_0,R1_0,1
R1,WK,R1WKL112601,Aluva,1,01_1,R1_1,1
R1,WK,R1WKR120100,Maharaja College,0,01_0,R1_0,1
R1,WK,R1WKL123601,Aluva,1,01_1,R1_1,1
R1,WK,R1WKR131100,Maharaja College,0,01_0,R1_0,1
R1,WK,R1WKL134601,Aluva,1,01_1,R1_1,1
R1,WK,R1WKR142100,Maharaja College,0,01_0,R1_0,1
R1,WK,R1WKL145601,Aluva,1,01_1,R1_1,1
R1,WK,R1WKR153100,Maharaja College,0,01_0,R1_0,1
R1,WK,R1WKL160601,Aluva,1,01_1,R1_1,1
R1,WK,R1WKR164100,Maharaja College,0,01_0,R1_0,1
R1,WK,R1WKL171601,Aluva,1,01_1,R1_1,1
R1,WK,R1WKR175100,Maharaja College,0,01_0,R1_0,1
R1,WK,R1WKL182601,Aluva,1,01_1,R1_1,1
